№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
723;24249;Шоколад Ruby 47,3% таблетки 2,5кг х 4 Callebaut Бельгия (CHR-R35RB1-E4-U70) (НМ) (КОД 24249) (+18°С);4х2,5кг;шт;3 713,16
;;;;;
724;12460;Шоколад белый 25,9% таблетки 10кг/пакет х2 Callebaut Бельгия (CW2NV-595) (НМ) (КОД 12460) (+18°С);2х10кг;шт;10 175,21
;;White chocolate 25,9%, gallets, 10kg, Callebaut, Belgium;;;
725;12300;Шоколад Белый 25,9% таблетки 2,5кгх8 пакет Callebaut CW2-RT-U71 Бельгия (КОД 12300) (+18°С);8х2,5кг;шт;2 655,16
;;White chocolate 25,9%, gallets, 2,5kg, Callebaut, Belgium;;;
726;98993;Шоколад Белый Velvet 32% таблетки 2,5кг х8 пакет Callebaut W3-RT-U71 Бельгия (КОД 98993) (+18°С);8х2,5кг;шт;3 069,43
;;;;;
727;14854;Шоколад белый с карамел 37,1% таблетки 2.5кг х4 Callebaut (CHK-R30GOLD-2B-U75)(НМ)(КОД 14854)(+18°С);4*2,5кг;упак.;4 309,31
;;White chocolate with caramel 37,1%, gallets, 2,5kg, Callebaut, Belgium;;;
728;50403;Шоколад молочн.карамель 31,1% табл. 2,5кг х4 Callebaut CHF-N3438CARRT-U70 Бельгия (КОД 50403)(+18°С);4х2,5кг;шт;3 677,11
;;;;;
729;12459;Шоколад Молочный 33,6% таблетки 10кг/пакет х 2 Callebaut Бельгия (823NV-595) (НМ) (КОД 12459)(+18°С);2х10кг;шт;9 881,89
;;Milk chocolate 33,6%, gallets, 10kg, Callebaut, Belgium;;;
730;40588;Шоколад Молочный 33,6% таблетки 2,5кг х8шт пакет Callebaut® Бельгия (823-RT-U71) (КОД 40588) (+18°С);8х2,5кг;шт;2 535,38
;;Milk chocolate 33,6%, gallets, 2,5kg, Callebaut, Belgium;;;
731;15323;Шоколад молочный 41% ALUNGA 1кг х 6 Cacao Barry Франция (CHM-Q41ALUN-2B-U73) (НМ) (КОД 15323)(+18°С);6*1кг;шт;1 686,80
;;;;;
732;47868;Шоколад розовый клубн. 30% табл 2,5кгх4 Callebaut STRAWBERRY-RT-U70 Бельгия (КОД 47868) (+18°С);4х2,5кг;шт;3 539,60
;;Pink Chocolate with strawberry taste, gallets 2.5kg Callebaut, Belgium;;;
733;84691;Шоколад Темный 54,5% таблетки 10кг х2шт пакет Callebaut 811NV-595 Бельгия (КОД 84691) (+18°С);2х10кг;шт;8 875,21
;;Black chocolate 54,5%, gallets, 10kg, Callebaut, Belgium;;;
734;13047;Шоколад Темный 54,5% таблетки 2,5кг х 8шт пакет Callebaut 811-RT-U71 Бельгия (КОД 13047) (+18°С);8х2,5кг;шт;2 453,22
;;Black chocolate 54,5%, gallets, 2,5kg, Callebaut, Belgium;;;
735;12458;Шоколад Темный гор 70,5% табл 10кг/пакет х2 Callebaut Бельгия (70-30-38NV-595)(НМ)(КОД 12458)(+18°С);2х10кг;шт;9 261,22
;;Black bitter chocolate 70,5%, gallets, 10kg, Callebaut, Belgium;;;
736;13045;Шоколад Темный гор 70,5% табл 2,5кгх8 пакет Callebaut 70-30-38-RT-U71 Бельгия (КОД 13045) (+18°С);8х2,5кг;шт;2 710,40
;;Black bitter chocolate 70,5%, gallets, 2,5kg, Callebaut, Belgium;;;
;;Шоколад прочий /;;;
737;12348;"Шоколад Черный 54% таблетки, Фонденте Диски 32/34, 10кг/кор  ""ARIBA"", Италия (КОД 12348) (+18°С)";1х10кг;шт;6 868,80
;;Milk chocolate 32%, coins, 1kg, ARIBA, Italy;;;
;;д) Масла /;;;
;;Масло для жарки /;;;
;;Масло для жарки прочее /;;;
738;60392;Масло подсолнечное рафинированное 1л пл/б ГОСТ Лико™ Россия (КОД 60392) (+18°С);15х1л;шт;107,57
;;;;;
739;59488;Масло подсолнечное рафинированное 1л пл/бут ГОСТ Efko Food Professional™ Эфко Россия (11133)(КОД 59488)(+18°С);15х1л;шт;124,82
;;;;;
740;47836;Масло подсолнечное рафинированное 1л х15 пл/б Sunny Gold Россия (КОД 47836) (+18°С);15х0,92кг;шт;123,11
;;Sunflower oil, 1L, Sunny Gold, Russia;;;
741;59490;Масло подсолнечное рафинированное 5л пл/бут ГОСТ Efko Food professional™ Эфко Россия (11200)(КОД 59490)(+18°С);4х5л;шт;618,07
;;;;;
742;55210;Масло подсолнечное рафинированное 5л пл/бут Кубанское любимое™ Россия (КОД 55210) (+18°С);3х5л;шт;508,19
;;;;;
743;50457;Масло подсолнечное рафинированное 5л х3 пл/б Sunny Gold Россия (КОД 50457) (+18°С);3х4,6кг;шт;613,24
;;Sunflower oil, 5 L, Sunny Gold, Russia;;;
;;Масло оливковое /;;;
;;Масло оливковое Clemente /;;;
744;14364;Масло оливковое рафинированное Sansa di Oliva 1л х12 ст/б Clemente Италия (КОД 14364) (+18°С);12х0,916кг;шт;580,69
;;"Refined Olive oil Sansa di Oliva, 1L, glass, ""Clemente"", Italy";;;
745;14365;Масло оливковое рафинированное Sansa di Oliva 5л х4 ж/б Clemente Италия (КОД 14365) (+18°С);4х4,58кг;шт;2 813,62
;;"Refined Olive oil Sansa di Oliva, 5L, tin, ""Clemente"", Italy";;;
;;Масло оливковое De Cecco /;;;
746;47845;Масло оливковое Extra Virgin Classico 1л ст/б De Cecco Италия (КОД 47845) (+18°С);12х0,916кг;шт;1 371,81
;;"Olive oil Extra Virgin, 1L, glass, ""De Cecco"", Italy";;;
747;97184;Масло оливковое Extra Virgin Classico 5л х2шт ж/б De Cecco Италия (КОД 97184) (+18°С);2х4,58кг;шт;6 134,16
;;"Olive oil Extra Virgin, 5L, tin, ""De Cecco"", Italy";;;
;;Масло оливковое прочее /;;;
748;55508;Масло оливковое Extra Virgin 1л ст/бут Divo® Basso Fedele and Figli s.r Италия(КОД 55508)(+18°С);12х1л;шт;673,93
;;;;;
749;59873;Масло оливковое Extra Virgin 1л ст/бут Imma® Италия (КОД 59873) (+18°С);12х1л;шт;876,11
;;;;;
750;59148;Масло оливковое Extra Virgin 5л пл/бут Imma® Италия (КОД 59148) (+18°С);2х5л;шт;4 127,04
;;;;;
751;59149;Масло оливковое рафинированное Pomace 1л пл/бут Imma® Италия (КОД 59149) (+18°С);12х1л;шт;530,99
;;;;;
752;59871;Масло оливковое рафинированное Pomace 5л пл/бут Imma® Италия (КОД 59871) (+18°С);2х5л;шт;2 585,44
;;;;;
753;55124;Масло оливковое рафинированное Pomace с доб.нераф 1л пл/б Olive Oil Якимал Россия (КОД 55124)(+18°С);20х1л;шт;465,8
;;;;;
;;Масло фритюрное /;;;
;;Прочие фритюрные масла /;;;
754;59491;Масло фритюрное подсолнечное 5л пл/бут Efko Food professional™ Эфко Россия (11201) (КОД 59491) (+18°С);4х5л;шт;666,95
;;;;;
755;55212;Масло фритюрное подсолнечное 5л пл/бут Юг Profi™ Россия (КОД 55212) (+18°С);3х5л;шт;624,26
;;;;;
756;98304;Масло фритюрное подсолнечное 5л х 2 пл/б Печагин Россия (КОД 98304) (+18°С);2х5л;шт;688,67
;;Oil for deep frying, 5L, plastic, Pechagin, Russia;;;
757;98605;Масло фритюрное подсолнечное 5л х3 пл/б Sunny Gold Россия (КОД 98605) (+18°С);3х4,6кг;шт;681,75
;;Oil for deep frying, 5L, plastic, Sunny Gold, Russia;;;
758;47934;Масло фритюрное растительное Вегафрай 05 7,5л х1 коробка Cargill Россия (КОД 47934) (+18°С);1х6,9кг;шт;1 117,31
;;Oil for deep frying, 7,5L, Vegafry, Russia;;;
;;Прочие растительные масла /;;;
759;10689;Масло кунжутное 1,8л п/бут Real Tang™ Китай (ПУ) (КОД 10689) (+18°С);6х1,8л;шт;1 167,64
;;Sesame oil,  1.8L, plastic, REAL TANG, China;;;
760;10688;Масло кунжутное 500мл ст/б Real Tang™ Китай (ПУ) (КОД 10688) (+18°С);12х500мл;шт;374,41
;;Sesame oil, 500ml, glass, REAL TANG, China;;;
761;19760;Масло подсолнечное нерафинированное 1-й отжим 1л х15 пл/б Слобода Россия (КОД 19760) (+18°С);15х1л;шт;208,1
;;;;;
;;е) Овощи и Фрукты /;;;
;;Грибы замороженные /;;;
762;57397;Грибы белые резаные кубики 9кг/кор ГОСТ Гринпроджект Россия (КОР) (КОД 57397) (-18°С);9кг;кор;4 548,96
;;;;;
763;15223;Грибы белые резаные, кубики 7кг кор Россия (КОР) (КОД 15223) (-18*С);7 кг;кор;3 538,08
;;;;;
764;16442;Грибы белые резаные, кубики 8кг кор Россия (КОР) (КОД 16442) (-18°С);8 кг;кор;4 043,52
;;;;;
765;96948;Грибы белые целые 3кг/кор класс А ГОСТ Кантарелла Россия (КОР) (КОД 96948) (-18°С);3кг;кор;2 335,91
;;White mushrooms, whole, 1 grade, frozen, 3 kg\box, Russian;;;
766;24438;Грибы опята Намеко целые зам 10кг/кор IQF Китай (КОР) (ПУ) (КОД 24438) (-18°С);1х10кг;кор;3 121,99
;;;;;
767;99690;Грибы шампиньоны рез с/м 10 кг Глусское РАЙПО Беларусь (КОР) (КОД 99690) (-18°С);1х10кг;кор;1 153,44
;;;;;
768;54274;Грибы шампиньоны рез с/м 10кг/кор Агрофрост Россия (КОР) (КОД 54274) (-18°С);10кг;кор;1 360,80
;;;;;
;;Овощи и фрукты замороженные /;;;
;;Закуски /;;;
;;Закуски прочие /;;;
769;56793;Луковые кольца жареные в панировке 1,5кг/пакет Feast™ Турция (КОД 56793) (-18°С);6х1,5кг;шт;528,7
;;;;;
770;60155;Сырные палочки Моцарелла в панировке 25-32гр/шт 1кг/пакет Водный мир Россия (2031) (КОД 60155) (-18°С);10х1кг;шт;507,01
;;;;;
771;48521;Сырные палочки Моцарелла в панировке 25г/шт 1кг/пакет ТМ Фрост-А Россия (КОД 48521) (-18°С);10х1кг;шт;544,2
;;;;;
772;99733;Сырные палочки Моцарелла в панировке 34гр шт 1кг пакет Эсперсен Россия (КОД 99733) (-18°С);4(5)х1кг;шт;562,63
;;;;;
;;Овощи замороженные /;;;
;;Картофель Farm Frites /;;;
773;57690;Картофель Алфавит 1кг/пакет Farm Frites™ Нидерланды (659.003) (КОД 57690) (-18°С);10х1кг;шт;280,8
;;;;;
774;57693;Картофель молодой 2,5кг/пакет Farm Frites™ Бельгия (534.012) (КОД 57693) (-18°С);4х2,5кг;шт;720,7
;;;;;
775;55571;Картофель фри 7мм 2,5кг х4шт/кор аутсорт Farm Frites Польша (КОР) (КОД 55571) (-18°С);4х2,5кг;кор;2 014,50
;;;;;
776;57137;Картофель фри волнистый 12х12мм 2,5кг Farm Frites™ Нидерланды (279.012) (КОД 57137) (-18°С);5х2,5кг;шт;632,45
;;;;;
777;57140;Картофельные котлеты треугольные с луком 2,5кг Farm Frites™ Бельгия (788.001) (КОД 57140) (-18°С);4х2,5кг;шт;738,41
;;;;;
;;Картофель LambWeston /;;;
778;53692;Картофель фри 6x6 с панировкой 2,5кг Fry Me™ Ви Фрай (FMS6) (КОД 53692) (-18°С);5х2,5кг;шт;555,98
;;;;;
779;58357;Картофель фри 9х18 Steakhouse с панировкой 2,5кг пакет Fry Me™ Ви Фрай Россия (FMS18) (КОД 58357) (-18°С);5х2,5кг;шт;536,54
;;;;;
780;57864;Картофель фри 9х9 c панировкой с кожурой Premium 2,5кг Fry Me® ЛВМ РУС Россия(S24)(КОД 57864)(-18°С);5х2,5кг;шт;684,6
;;;;;
781;56628;Картофель фри 9х9 c панировкой сладкий Батат 2,5кг Fry Me® ЛВМ РУС Россия (BAT9) (КОД 56628) (-18°С);5х2,5кг;шт;997,52
;;;;;
782;53694;Картофель фри 9х9 Triumph 2,5кг пакет Ви Фрай (TR46) (КОД 53694) (-18°С);5х2,5кг;шт;401,36
;;;;;
783;53697;Картофельные дольки с кожурой 2,5кг пакет Fry Me™ Ви Фрай Россия (W12) (КОД 53697) (-18°С);5х2,5;шт;575,42
;;;;;
;;Картофель Байсад /;;;
784;13277;"Картофель фри 10х10 2,5кг пакет ""Байсад"" Россия (КОД 13277) (-18°С)";4х2,5кг;шт;336,7
;;"French Fries, 10*10, ,4*2,5kg, frozen, ""Baysad"", Russian";;;
785;13279;"Картофельные дольки с кожурой 2,5кг пакет ""Байсад"" Россия (КОД 13279) (-18°С)";4х2,5кг;шт;326,08
;;"Potato wedges, skin-on, wavy, 4*2,5kg, frozen, ""Baysad"", Russian";;;
;;Картофель прочий /;;;
786;57460;Картофель Алфавит 1кг/пакет Hy Fun™ Индия (КОД 57460) (-18°С);10х1кг;шт;370,19
;;;;;
787;55555;Картофель дольки с кожурой 14кг/кор ГОСТ Мираторг Россия (1010025300) (КОР) (КОД 55555) (-18°С);14кг;кор;1 496,71
;;;;;
788;58199;Картофель фри 10х10 2,5кг/пакет French Fries IQF Torpat™ Турция (КОД 58199) (-18°С);6х2,5кг;шт;639,4
;;;;;
789;56800;Картофель фри 10х10 2,5кг/пакет без панировки  Feast™ Турция (КОД 56800) (-18°С);6х2,5кг;шт;675,24
;;;;;
790;56794;Картофель фри 10х20 Steakhouse 2,5кг/пакет Feast™ Турция (КОД 56794) (-18°С);6х2,5кг;шт;667,8
;;;;;
791;59826;Картофель фри 10х20 Steakhouse 2,5кгх4/кор Symphonie™ Bergia Нидерланды (КОР) (КОД 59826) (-18°С);10кг;кор;2 626,27
;;;;;
792;59822;Картофель фри 7х7 2,5кг х4шт/кор Harmonie™ Bergia Нидерланды (КОР) (КОД 59822) (-18°С);10кг;кор;2 634,41
;;;;;
793;59821;Картофель фри 7х7 2,5кг х4шт/кор Symphonie™ Bergia Нидерланды (КОР) (КОД 59821) (-18°С);10кг;кор;2 668,63
;;;;;
794;56801;Картофель фри 7х7 2,5кг/пакет без панировки Feast™ Турция (КОД 56801) (-18°С);5х2,5кг;шт;678,82
;;;;;
795;55509;Картофель фри 9мм 2,5кг х4шт/кор Delta Center Египет (КОР) (КОД 55509) (-18°С);4х2,5кг;кор;1 878,00
;;;;;
796;56934;Картофель фри 9х9 2,5кг х4/кор FROZENA™ Египет (КОР) (КОД 56934) (-18°С);4х2,5кг;кор;2 148,32
;;;;;
797;59823;Картофель фри 9х9 2,5кг х4шт/кор Symphonie™ Bergia Нидерланды (КОР) (КОД 59823) (-18°С);10кг;кор;2 626,82
;;;;;
798;59825;Картофель фри волнистый 10х10 2,5кг х4шт/кор Symphonie™ Bergia Нидерланды (КОР) (КОД 59825) (-18°С);10кг;кор;2 666,92
;;;;;
799;55361;Картофель фри широкой нарезки Steakhouse 10кг/кор Польша (КОР) (КОД 55361) (-18°С);10кг;кор;1 820,00
;;;;;
800;59065;Картофельные дипперы c кожурой 2кгх5/кор FROZENA™ Египет (КОР) (КОД 59065) (-18°С);5х2кг;кор;2 600,12
;;;;;
801;59068;Картофельные дипперы без кожуры 2кгх5/кор FROZENA™ Египет (КОР) (КОД 59068) (-18°С);5х2кг;кор;2 600,12
;;;;;
802;56936;Картофельные дольки с кожурой 2,5кг х4/кор FROZENA™ Египет (КОР) (КОД 56936) (-18°С);4х2,5кг;кор;2 350,39
;;;;;
803;57456;Картофельные котлеты круглые с луком 1,5кг/пакет Hy Fun™ Индия (КОД 57456) (-18°С);8х1,5кг;шт;392,42
;;;;;
804;57457;Картофельные котлеты треугольные 2,5кг/пакет Hy Fun™ Индия (КОД 57457) (-18°С);4х2,5кг;шт;680,12
;;;;;
805;60079;Картофельные котлеты треугольные 2,5кгх4/кор Pomuni™ Бельгия (КОР) (КОД 60079) (-18°С);4х2,5кг;кор;2 812,32
;;;;;
806;56799;Картофельные крокеты 1,5кг/пакет в панировке Feast™ Турция (КОД 56799) (-18°С);6х1,5кг;шт;423,53
;;;;;
807;57459;Картофельные крокеты 1кг/пакет Hy Fun™ Индия (КОД 57459) (-18°С);10х1кг;шт;317,14
;;;;;
808;57547;Картофельные крокеты с сыром и халапеньо 1кг/пакет Hy Fun™ Индия (КОД 57547) (-18°С);12х1кг;шт;522,83
;;;;;
;;Овощи замороженные Bonduelle /;;;
809;14089;Горошек зеленый, с/м, 4х2,5кг, Bonduelle (КОД 14089) (-18°С);4*2,5кг;шт;544,61
;;;;;
;;Овощи замороженные прочие /;;;
810;20523;Бобы Зеленые соевые в стручках Edamame 454гр пакет Yuyao Gumancang Китай (КОД 20523) (-18°С);20х454гр;шт;193,18
;;;;;
811;59340;Бобы Зеленые соевые в стручках Edamame 500гр пакет Don Kreveton™ Китай (КОД 59340) (-18°С);20х500гр;шт;234
;;;;;
812;56262;Бобы Зеленые соевые в стручках Edamame 500гр пакет Yakimal™ Россия (КОД 56262) (-18°С);20х500гр;шт;195,7
;;;;;
813;60370;Бобы Зеленые соевые очищенные Edamame 500гр пакет Don Kreveton™ Россия (КОД 60370) (-18°С);20х500гр;шт;247
;;;;;
814;60013;Брокколи 10кг/кор Египет (ПУ) (КОР) (КОД 60013) (-18°С);10кг;кор;1 645,92
;;;;;
815;52439;Брокколи 40/60 10кг/кор IQF 1-й класс Real Fresh Agriculture Египет (КОР) (КОД 52439) (-18°С);10кг;кор;1 715,54
;;;;;
816;58762;Брюссельская капуста 10кг/кор IQF Турция (КОР) (КОД 58762) (-18°С);10кг;кор;2 138,40
;;;;;
817;97713;Брюссельская капуста 10кг/кор Китай (КОР) (КОД 97713) (-18°С);1*10кг;кор;2 008,80
;;Brussels sprouts, frozen, 10kg, China;;;
818;11028;Брюссельская капуста 4х2,5кг/кор Qingdao Harthn-Ritune Китай (КОР) (КОД 11028) (-18°С);1х10кг;кор;1 918,08
;;Brussels sprouts, frozen, 10kg, China;;;
819;59736;Горошек зеленый 10кг/кор с/м ГОСТ Трейд Сервис Россия (КОР) (КОД 59736) (-18°С);10кг;кор;997,92
;;;;;
820;58418;Горошек зеленый 10кг/кор с/м ПК ЮЖ Россия (КОР) (КОД 58418) (-18°С);10кг;кор;997,92
;;;;;
821;55132;Горошек зеленый 10кг/кор с/м РПК Россия (КОР) (КОД 55132) (-18°С);10кг;кор;907,2
;;;;;
822;59003;Кукуруза в початках сладкая 10кг/кор Frotasty Foods Group Китай (КОР) (КОД 59003) (-18°С);1х10кг;кор;1 490,40
;;;;;
823;55312;Кукуруза в початках сладкая 12кг/кор IQF Relish Agro Food™ Индия (ГФ) (КОР) (КОД 55312) (-18°С);1х12кг;кор;2 028,00
;;;;;
824;59855;Кукуруза в початках сладкая 12кг/кор IQF Relish Agro Food™ Индия (КОР) (КОД 59855) (-18°С);12кг;кор;1 835,14
;;;;;
825;60002;Кукуруза зерно с/м 10кг/кор Relish Agro Food Индия (КОР) (КОД 60002) (-18°С);10кг;кор;1 529,28
;;;;;
826;57516;Морковь пальчиковая с/м 10кг/кор Турция (КОР) (КОД 57516) (-18°С);10кг;кор;2 242,08
;;;;;
827;55164;Спаржа белая заморож 1кг/пакет IQF Qingao Wyl Imp&Exp Китай (КОД 55164) (-18°С);10х1кг;шт;455,68
;;;;;
828;59685;Спаржа зеленая заморож 8кг/кор Агро-Союз Россия (КОР) (КОД 59685) (-18°С);8кг;кор;4 665,60
;;;;;
829;17275;Фасоль стручковая резаная 10кг/кор Ibic Египет (КОР) (КОД 17275) (-18°С);10кг;кор;1 205,28
;;;;;
830;55464;Фасоль стручковая резаная 10кг/кор с/м Delta Center Египет (КОР) (КОД 55464) (-18°С);10кг;кор;1 205,28
;;;;;
831;57473;Фасоль стручковая целая 8кг/кор Брюховецкая овощная компания Россия (КОР) (КОД 57473) (-18°С);8кг;кор;1 204,07
;;;;;
832;49856;Цветная капуста с/м 9кг/кор Узбекистан (КОР) (КОД 49856) (-18°С);9кг;кор;1 108,08
;;;;;
833;55311;Шпинат листья резаные порционные 10кг/кор IQF Relish Agro Food™ Индия (КОР) (КОД 55311) (-18°С);1х10кг;кор;1 749,58
;;;;;
834;58529;Шпинат листья целые порц 10кг/кор Mevsim Gida Турция (КОР) (КОД 58529) (-18°С);10кг;кор;2 047,68
;;;;;
;;Ягоды и фрукты замороженные /;;;
;;Ягоды и фрукты прочие /;;;
835;60012;Авокадо дольки очищ быстрозаморож 1кг пакет Artpuree™ Россия (КОД 60012) (-18°С);8х1кг;шт;912,8
;;;;;
836;98409;Брусника с/м 10кг/кор Китай (ПУ) (КОР) (КОД 98409) (-18°С);1х10кг;кор;3 045,60
;;Cowberry, frozen, 10kg, China;;;
837;57368;Брусника с/м 12.5 кг/кор Китай Qingdao Liberty (КОР) (КОД 57368) (-18°С);12,5кг;кор;3 807,00
;;;;;
838;60172;Вишня б/к с/м 10кг/кор Agro Soy Plast Узбекистан (КОР) (КОД 60172) (-18°С);10кг;кор;2 592,00
;;;;;
839;14408;Вишня б/к с/м 10кг/кор Сербия (КОР) (КОД 14408) (-18°С);1х10кг;кор;2 592,00
;;Pitted Cherry, frozen, 10kg/box, Serbia;;;
840;14837;Ежевика с/м , 13 кг/кор Сербия (КОР) (КОД 14837) (-18°С);13 кг;кор;11 491,50
;;Blackberry, froz, 10 kg/box Serbia;;;
841;53860;Ежевика с/м 10кг/кор 80/20 1 класс JR Tempo Foods DOO Сербия (КОР) (КОД 53860) (-18°С);10кг;кор;2 880,90
;;;;;
842;51469;Клубника с/м, класс А, 10кг/кор Green Vision Египет (КОД 51469) (-18°С);1х10кг;кор;1 582,03
;;;;;
843;99099;Клюква с/м дикорастущая 10кг/кор Россия (ПУ) (КОР) (КОД 99099) (-18°С);1х10кг;кор;4 963,68
;;;;;
844;50451;Клюква с/м садовая 10кг/кор Liaocheng Haotian Food Китай (КОР) (КОД 50451) (-18°С);10кг;кор;3 823,20
;;;;;
845;51740;Малина с/м 10кг/кор ГОСТ Новгородская ягода (КОР) (КОД 51740) (-18°С);10кг;кор;3 991,68
;;;;;
846;14604;Малина с/м 2,5кгх4шт/кор Экстра ГОСТ Кантарелла Россия (КОР) (КОД 14604) (-18°С);4х2,5 кг;кор;3 991,68
;;Raspberry, frozen 2,5kg*4pcs, EXTRA, Russia;;;
847;59105;Малина с/м 9 кг/кор РПК Россия (КОР) (КОД 59105) (-18°С);1х9кг;кор;2 916,00
;;;;;
848;52302;Манго дольки очищ быстрозаморож 1кг пакет Artpuree™ Россия (КОД 52302) (-18°С);12х1кг;шт;648
;;;;;
849;58814;Манго дольки с/м 1кг пакет Relish Agro Food Индия (КОД 58814) (-18°С);10х1кг;шт;623,17
;;;;;
850;97142;Облепиха с/м 10кг/кор Китай (КОД 97142) (-18°С);1х10кг;кор;2 189,87
;;Sea-buckthorn, frozen, 10kg\box, China;;;
851;57569;Облепиха с/м 10кг/кор ПК Юж Россия (КОР) (КОД 57569) (-18°С);10кг;кор;2 203,20
;;;;;
852;60030;Черная смородина с/м 10кг/кор Fine Food Турция (КОР) (КОД 60030) (-18°С);10кг;кор;2 656,80
;;;;;
853;98444;Черная смородина с/м 10кг/кор Китай (КОР) (КОД 98444) (-18°С);1х10кг;кор;2 851,20
;;Black currant, frozen, 10kg, China;;;
854;57584;Черника с/м 10 кг/кор Гринпроджект Россия (КОР) (КОД 57584) (-18°С);10кг;кор;2 643,73
;;;;;
;;Овощи и фрукты консервированные /;;;
;;Грибы консервированные /;;;
;;Грибы белые /;;;
855;51900;Грибы белые маринованные 400гр (осн.прод.260гр.) ст/б Грибной дождь Россия (КОД 51900) (+18°С);8х400гр;шт;541,73
;;;;;
;;Грибы прочие /;;;
856;21109;Грибы лесные и культивир. 800гр (620гр осн.пр.) ж/б консерв, Prontofresco™ Италия(Код 21109)(+18°C);6*0,8 кг;шт;935,42
;;;;;
857;59062;Грибы маслята марин 530гр/580мл (осн пр 320гр) ст/б Botanica Китай (КОД 59062) (+18°С);12х530гр;шт;159,96
;;;;;
858;17123;Грибы Опята целые марин 530гр/580мл (осн пр 320гр) ст/б Прошу к столу! Китай (ПУ) (КОД 17123) (+18°С);12х530гр;шт;181,44
;;;;;
859;24275;Грибы шампиньоны резаные 2,84кг/3,1л (осн.пр 1,93кг) х6шт ж/б Прошу к столу™Китай (ПУ) (КОД 24275) (+18°С);6х2,84кг;шт;388,8
;;;;;
;;Овощи консервированные /;;;
;;Горошек зеленый /;;;
860;35020;Горошек консерв 400гр/425мл (осн.пр.240гр) ж/б в/с из м.с. ГОСТ Грин Рэй Россия (КОД 35020) (+18°С);12х400гр;шт;65,82
;;;;;
861;55836;Горошек консерв 400гр/425мл (осн.пр240гр) ж/б в/с из мозг.сорт ГОСТ Знаток™ (ПУ) (КОД 55836) (+18°С);12х400гр;шт;65,99
;;;;;
862;31521;Горошек консервированный 4150гр/4250мл(осн.пр 2400гр) ж/б Sunfeel™ Сербия (КОД 31521) (+18°С);6х4150гр;шт;883,81
;;;;;
;;Каперсы /;;;
863;12569;Каперсы в уксусе 9-11мм 180гр (осн.пр.110гр) х12 ст/б Italcarciofi Италия (КОД 12569) (+18°С);12х180гр;шт;193,31
;;Capers 9/11 in Vinegar 12х180g, glass jar, ITALCARCIOFI, Italy;;;
864;16217;Каперсы в уксусе плоды с черенками 690гр/720мл (осн.пр.400гр)х12 ст/б Italcarciofi Италия(КОД 16217);12х690гр;шт;629,71
;;;;;
;;Капуста квашеная /;;;
865;52324;Капуста квашеная белокочанная 9,7 кг ж/б Wasta Konserven Германия (ГФ) (КОД 52324) (+18°С);1 х 9,7кг;шт;1 469,17
;;;;;
866;19284;Капуста квашеная белокочанная 9,7кг/10,2л ж/б Mamminger Германия (КОД 19284) (+18°С);1х9,7кг;шт;1 769,04
;;White cabbage (sauerkraut), 9.7kg, tin, Mamminger, Germany;;;
;;Кукуруза /;;;
867;48374;Кукуруза мини-початки консерв. 340гр (осн.прод.190 гр.) Sunfeel™ Китай (КОД 48374) (+18°С);12х340гр;шт;150,05
;;Marinated baby corn on the cob, 12*340g, glass, Sunfeel;;;
868;34966;Кукуруза сладкая зерно 2125гр/2650мл (осн.пр.1850гр) ж\б Sunfeel™ Китай (КОД 34966) (+18°С);6х2125гр;шт;531,82
;;;;;
869;35008;Кукуруза сладкая зерно 340гр/425мл (осн.пр. 250гр) ж/б Delcoff™ Китай (КОД 35008) (+18°С);12х340гр;шт;60,16
;;;;;
870;45225;Кукуруза сладкая зерно 340гр/425мл (осн.пр.272гр) х24 ж/б Green Ray™ Россия (КОД 45225) (+18°С);12*340гр.;шт;82,18
;;;;;
871;57305;Кукуруза сладкая зерно 400гр/425мл (осн.пр.240гр) ж/б в/с ГОСТ Овощной край™ (КОД 57305) (+18°С);12х400гр;шт;64,15
;;;;;
;;Овощи консервированные Bonduelle /;;;
872;34512;Горошек консерв 400гр/425мл (осн.пр. 245гр) Нежный ж\б Bonduelle Венгрия (127228) (КОД 34512)(+18°С);12х425мл;шт;155,09
;;;;;
873;56844;Фасоль белая в т/с 400гр/425мл (осн.пр.200гр) ж/б Bonduelle™ Россия (КОД 56844) (+18°С);12х400гр;шт;124,49
;;;;;
874;56433;Фасоль красная 400гр/425мл (осн.пр.240гр) ж/б Bonduelle™ Россия (КОД 56433) (+18°С);12х400гр;шт;148,96
;;;;;
;;Овощи консервированные Heinz /;;;
875;11441;Фасоль красная 400гр (осн.пр. 240гр) х12шт ж/б HEINZ Россия (КОД 11441) (+18°С);12х400гр;шт;175,16
;;"Tinned Red beans, 400g х 12, ""Heinz""";;;
;;Овощи консервированные ITALCARCIOFI /;;;
876;12573;Артишоки сердцевины в рассоле с с/соком 2,65л (осн.пр1,2кг)ж/б Italcarciofi Италия(КОД 12573)(+18°С);6х2,5кг;шт;1 735,84
;;Artichoke hearts in brine 6х2,6kg, tin, ITALCARCIOFI, Italy;;;
877;35844;Артишоки четвертинки в масле 280гр (осн.пр.170гр) ст/б, Italcarciofi, Италия (КОД 35844) (+18°С);12х0,28кг;шт;237,17
;;;;;
878;32877;Лучок в уксусе 314мл/290гр (осн.пр.180гр) ст/б Italcarciofi Италия (КОД 32877) (+18°С);12х290гр;шт;177,49
;;;;;
