№;Код;Наименование товаров / Наименование англ.;Упаковка;Ед.;Цена, р. за ед.
101;56242;Говядина тазобедренный отруб б/к~18-24кг/кор Халяль ГОСТ Могилевский МК Беларусь(КОД 56242)(-18°С);~18-24кг;кг;722,68
;;;;;
102;31901;Говядина тазобедренный отруб без голяшки б/к ~18-22кг/кор ГОСТ Горизонт Россия (КОР) (КОД 31901) (-18°С);18-22 кг;кг;547,94
;;;;;
103;47812;Говядина тазобедренный отруб без голяшки б/к ~18-22кг/кор ГОСТ ПАРТНЕР 22 Россия (КОД 47812) (-18°С);18-22 кг;кг;543,09
;;;;;
104;44951;Говядина тазобедренный отруб без голяшки б/к ~7-12кг в/у ГОСТ ВахавякПлюс Беларусь(КОД 44951)(-18°С);2х~7-12кг;кг;611,75
;;;;;
105;60160;Говядина шейный отруб (филе) ~4кг в/у ~16-22кг/кор Светлый МК Беларусь (КОР) (КОД 60160) (-18°С);~20кг;кг;593,45
;;;;;
106;59237;Говядина шейный отруб (филе) ~6-12кг пакет Бобруйский МК Беларусь (КОД 59237) (-18°С);~25кг;кг;539,13
;;;;;
107;59616;Говядина шейный отруб б/к ~7-10кг в/у ГОСТ СаТур транс Беларусь (КОД 59616) (-18°С);~18-20кг;кг;549,19
;;;;;
108;24324;Говядина Щечки ~2кг/шт (субпр мясной мякотный обработ) ГОСТ, Виктория, Россия (КОД 24324)(-18°С);~9кг;кг;756,25
;;;;;
109;59054;Говядина фарш 2кг в/у Мясной клуб Россия (КОД 59054) (-18°С);6х2кг;шт;819,01
;;;;;
;;Субпродукты говяжьи / Beef variety meats;;;
110;48112;Говядина Печень ~17-23кг/кор монолит Madeka S.A. №3675 Аргентина (КОР) (КОД 48112) (-18°С);~17-23 кг;кг;242,41
;;;;;
111;58144;Говядина Печень ~1кг слайсы в/у Offal Exp S.A. №4407 Аргентина (КОД 58144) (-18°С);12х~1кг;кг;264,42
;;;;;
112;58147;Говядина хвосты н/к ~500гр в/у Offal Exp S.A. №4407 Аргентина (КОР) (КОД 58147) (-18°С);24х~500гр;кг;484,77
;;;;;
113;59627;Говядина Язык ~12кг/кор Offal Exp S.A. №4407 Аргентина (КОР) (КОД 59627) (-18°С);~12кг;кг;685,73
;;;;;
;;Готовые мясные изделия / Ready-to-eat meat products;;;
;;Бекон /;;;
114;21179;Бекон нарезка в/к «Венгерский» 500гр в/у зам прод из свинины Мясницкий Ряд™ Россия(КОД 21179)(-18°С);10х500гр;шт;249,01
