;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист для партнера ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Прайс-лист;;;;;;;;;;;;;;;;;;;;;;;;;
4 сентября 2023 г.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Наименование товаров;Цена за ед.;;Кол-во в упаковке;Страна / Производитель;"Количество на 
складах";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
01. МЯСО, ПТИЦА И МЯСНАЯ ГАСТРОНОМИЯ;;;;;;;;;;;;;;;;;;;;;;;;;
01.1 Мясная гастрономия;;;;;;;;;;;;;;;;;;;;;;;;;
"01.1.03 Мясные изедлия  ""Златиборац""";;;;;;;;;;;;;;;;;;;;;;;;;
			Говядина оковалок б/к с/м в/у (~4,6 кг*2) Black Angus кор.~9,2 кг Мираторг;816;кг;1;;48,93;;;;;;;;;;;;;;;;;;;;
			Говяжья печень с/м (4-6шт.~ 3-5 кг) Аргентина (кор. ~15- 20 кг);217,2;кг;16;"АРГЕНТИНА/FRIGORIFICO REGIONAL INDUSTRIAS ALIMENTICIAS RECONQIUSTA S.A.; Offal Exp. S.A.; ACOCARNES S.A.";84,268;;;;;;;;;;;;;;;;;;;;
			Лопаточный отруб говяжий б/к зам. (лопатка) ~4-5кг,  (коробка ~20 кг)Россия;483,55;кг;20;ПАРАГВАЙ/ООО НАТУРАЛЬНЫЕ МЯСОПРОДУКТЫ;24,72;;;;;;;;;;;;;;;;;;;;
СВИНИНА ЗАМОРОЖЕННАЯ:;;;;;;;;;;;;;;;;;;;;;;;;;
"			Свинина окорок б/к с/м (~ 9.000 кг) упак.~27 кг ЗАО ""СК Короча""";369,6;кг;27;"ЗАО ""СК Короча""";30,128;;;;;;;;;;;;;;;;;;;;
01.3 Птица Замороженная/ Охлажденная;;;;;;;;;;;;;;;;;;;;;;;;;
УТКА И СУБПРОДУКТЫ ЗАМОРОЖЕННЫЕ:;;;;;;;;;;;;;;;;;;;;;;;;;
			Окорочок утиный (~1,200 кг) упак.~ 10 кг ТД ИМПЕРИЯ  Россия;568,98;кг;10;"ООО ""ТД ""ИМПЕРИЯ""";93,73;;;;;;;;;;;;;;;;;;;;
"			Окорочок утиный с кожей ""Озерка"" стрейч-лоток вес. (~ 0,500 кг) упак. 12 шт.";528,04;кг;6;;59,789;;;;;;;;;;;;;;;;;;;;
"			Утиная грудка на коже б/к ""Родченкова"" ( ~ 0,700 кг - 1,200 кг) упак.~ 12 кг Россия";712,98;кг;12;РОССИЯ/ИП Родченкова О.А.;3,696;;;;;;;;;;;;;;;;;;;;
			Утиная грудка филе (~1,200 кг) упак.~ 10 кг Россия;695,5;кг;10;"ООО ""ТД ""ИМПЕРИЯ""";1,384;;;;;;;;;;;;;;;;;;;;
"			Филе грудки утенка,стрейч-лоток,зам т.м ""Озерка"" вес (~0.700/0,800 кг) упак.12 шт";748,91;кг;12;"ООО ""Новые утиные фермы""";192,612;;;;;;;;;;;;;;;;;;;;
ЦЫПЛЯТА, КУРЫ И СУБПРОДУКТЫ ЗАМОРОЖЕННЫЕ:;;;;;;;;;;;;;;;;;;;;;;;;;
"			Бедро бескостное без кожи(лоток) ""Домоседка"" зам ( ~0,800 кг) упак~10 кг";493,79;кг;10;"ООО ""Богородские Деликатесы""";208,772;;;;;;;;;;;;;;;;;;;;
"			Голень куриная ""Луневский"" П/Ф из мяса птицы заморож. (~2,500 кг) упак.~ 10 кг";271,9;кг;1;"ООО""МПК""Луневский""";15,42;;;;;;;;;;;;;;;;;;;;
