;;;Оливки зеленые Белла ди Чериньола развесные, кг;1 540,00
;;;Оливки черные Белла ди Чериньола 4250 мл в ж/б, шт;3 619,00
;;;Оливки черные развесные, кг;1 540,00
;;;CERNI SRL;
;;;"Масло оливковое первого холодного отжима,  ""Antico Frantoio"" 5 л ПЭТ, шт";2 500,00
;;;"Масло оливковое первого холодного отжима,  ""CERNI"" 5 л. ж/б, шт";3 500,00
;;;ФРУКТОВАЯ ГОРЧИЦА;
;;;Фруктовая горчица из инжира 120 гр, шт;379,50
;;;Фруктовая горчица из красного мандарина 120 гр, шт;379,50
;;;Фруктовая горчица из лимонов и имбиря120 гр, шт;379,50
;;;Хлебцы Карасату с оливковым маслом 200 гр., шт;542,30
;;;Пандоро (Кулич) 0,750 кг, шт;935,00
;;;Панеттоне (Кулич с изюмом и цукатами) 0,750 кг., шт;935,00
;;;CLEMENTE (МАСЛО ЛА ТЕРАССА)трюфель,перец;
;;;Масло оливковое BIO DOP DAUNO GARGANO SVEVIA т. м. CLEMENTE 0,500 л. стекло, шт;918,50
;;;"Масло оливковое нераф. хол.отжима  т.м. ""LeTerrazze"" 1 л. ПЭТ, шт";1 300,00
;;;Масло оливковое с кр.перцем 0,250 л., шт;660,00
;;;Масло оливковое с трюфелем 0,250 л. стекло, шт;621,50
;;;"Масло оливковое т. м. ""Le Terrazze"" 0,25 л. стекло, шт";313,50
;;;L`ORO DI GRAGNANO - Паста  BIO;
;;;BUCATINI BIO, 500 г., шт;291,50
;;;CALAMARATA  BIO, 500 гр., шт;291,50
;;;CASERECCE BIO , 500 гр, шт;291,50
;;;FESTONI BIO , 500 гр., шт;291,50
;;;FUSILLI AL FERR LUNGHI BIO, 500 гр., шт;291,50
;;;LASAGNA BIO , 500 гр. , шт;291,50
;;;LINGUINE BIO , 500 гр. , шт;291,50
;;;LUMACONI BIO , 500 гр. , шт;291,50
;;;MEZZI PACCHERI BIO , 500 гр., шт;291,50
;;;OCCHI DI LUPO BIO,  500 гр., шт;291,50
;;;PACCHERI BIO 500 г., шт;291,50
;;;PAPPARDELLE BIO,  500 гр., шт;291,50
;;;PENNE RIGATE BIO , 500 гр., шт;291,50
;;;RIGATONI BIO, 500 гр., шт;291,50
;;;SCIALATIELLI BIO ,  500 гр., шт;291,50
;;;SPAGHETTI CHITARRA BIO,  500 гр., шт;291,50
;;;SPAGHETTONI BIO, 500 гр., шт;291,50
;;;MAREMMA RISO (РИС);
;;;Мука рисовая 0,5 кг, шт;319,00
;;;Рис Chai длиннозерный Maremma 1 кг вакуум, шт;379,50
;;;Рис Карнароли 1 кг вакуум, шт;693,00
;;;MATA CAFFE -КОФЕ;
;;;Кофе Intenso в капсулах без кофеина, шт;4 279,00
;;;Кофе Intenso в капсулах с кофеином, шт;4 279,00
;;;Кофе в зернах  ARABICA 100% 1 кг, шт;2 200,00
;;;Кофе в зернах  EXTRA BAR  1 кг, шт;1 540,00
;;;Кофе в зернах GUSTO CREMA 1 кг, шт;1 320,00
;;;Кофе молотый  ARABICA 100%  250 гр  ж\б, шт;894,30
;;;Кофе молотый  GUSTO CREMA   250 гр вакуум, шт;366,30
;;;Кофемашина капсульная Nero Grimac , шт;19 580,00
;;;MOLINO PAGANI ( МУКА);
;;;Мука PAGANELLA ( Полуфабрикат для выпечки) 10 кг, шт;3 371,50
;;;Мука для пиццы 25 кг, шт;4 609,00
;;;VALNERINA TARTUFI ( ТРЮФЕЛИ);
;;;Крем из белого трюфеля и белых грибов ( Crema di porcini tartufati) 45 г, шт;467,50
;;;Макароны Stringozzi с черным трюфелем( Stringozzi al tartufo nero) 250 г, шт;451,00
;;;Макароны Tagliatelle с белым трюфелем (Tagliatelle al tartufo Bianco) 250 г, шт;599,50
;;;Масло с ароматом белого трюфеля(Olio aromatizzato tartufo bianko) 250 мл ж\б, шт;1 050,50
;;;Масло с ароматом белого трюфеля(Olio aromatizzato tartufo bianko) 3000 мл ж\б, шт;13 354,00
;;;Паштет из оливок и миндаля с трюфелем (Pate di olive e mandorle tartufato) 90 г, шт;561,00
;;;Приправа Трюфельная  вакуумная упаковка 500 г, шт;4 686,00
;;;Приправа трюфельная (Truffle Taste bottiglia plastica) 30 г пэт, шт;462,00
;;;Приправа трюфельная (Truffle Taste bottiglia vetro) 30 г стекло, шт;440,00
;;;Соус готовый из томатов и черного трюфеля (Sugo pronto al tartufo) 180 г, шт;627,00
;;;Соус из белого трюфеля(Salsa al tartufo Bianko) 45 г, шт;660,00
;;;Соус из белого трюфеля(Salsa al tartufo bianko) 480 г, шт;1 842,50
;;;Соус Песто из томатов и трюфеля(Pesto rosso al tartufo) 180 г, шт;599,50
;;;Соус Песто с трюфелем(Pesto alla genovese verdi al tartufo) 180 г, шт;605,00
;;;Соус трюфельный (Salsa Tartufata) 50 г , шт;396,00
;;;Соус трюфельный (Salsa Tartufata) 500 г, шт;1 336,50
;;;Трюфель черный летний измельченный(Tartufo Estivo Macinato) 60 г, шт;1 017,50
;;;Трюфель черный летний нарезанный( Tartufo Estivo Scaglie) 60 г, шт;1 017,50
;;;Трюфель черный летний нарезанный(Brisure di Tartufo Estivo) 450 г( для сыра), шт;9 900,00
;;;Трюфель черный летний целый (Tartufo Estivo Intero) 50 г, шт;1 897,50
;;;ВЕСТ ЭСТ ( МУКА );
;;;"Мука для пиццы ( BIO TIPO 0 W 330 ТМ ""CREO BIO"") 12,5 кг                                                                            АКЦИЯ!!!!";600,00
;;;КАННОЛИ (ВАФЕЛЬНЫЕ ТРУБОЧКИ);
;;;Канноли ( вафельные трубочки ) упак.коробка 100 шт, шт;5 391,10
;;;МОРЕПРОДУКТЫ (РАКУШКИ);
;;;Ракушки морского гребешка;105
