Мясо;;;;
Говядина Вагю Япония;;;;
"Тунец филе BIG EYE ""Middle Cut"" LOIN А-grade охл (Шри-Ланка)";6 000 ₽;;;
"Тунец филе BIG EYE ""Стейк"" (Шри-Ланка)";6 300 ₽;;;
"Тунец филе LOIN B-grade ""Middle Cut"" охл (Шри-Ланка)";5 100 ₽;;;
"Тунец филе LOIN SASHIMI-grade ""Middle Cut"" охл (Шри-Ланка)";6 500 ₽;;;
"Тунец филе LOINS ""Middle Cut"" охл (Шри-Ланка)";5 400 ₽;;;
Тунец щеки охл (Шри-Ланка);3 500 ₽;;;
Живые молюски   ;;;;
Анадаре вес кг (Россия);990 ₽;;;
Гребешок живой 11см+ ДВ (Россия);1 500 ₽;;;
"Краб Камчатский живой 2/3 кг ""Антей"" Россия";5 950 ₽;;;
"Мидии в голубых раковинах ""Беломорские"" вес кг (Россия)";600 ₽;;;
Модиолусы вес кг (Россия);*;;;
Морской еж живой вес кг (Россия);1 100 ₽;;;
"Ракушки ""Вонголе"" вес кг (Россия)";950 ₽;;;
Спизула вес кг (Россия);990 ₽;;;
Устрицы Намибия;;;;
"Устрица ""Розовая Джоли"" S (Намибия)";260 ₽;;;
"Устрица ""Розовая Джоли"" М (Намибия)";300 ₽;;;
Устрицы Россия;;;;
Устрица Императорская (100-150) вес (Россия);900 ₽;;;
Устрица Императорская 200+ вес (Россия);750 ₽;;;
Устрица Хасанская (100-200) вес (Россия);950 ₽;;;
Устрицы Франция;;;;
Устрица Жилардо №2 (ФР);820 ₽;;;
Устрица Жилардо №3 (ФР);650 ₽;;;
Устрица Жилардо №4 (ФР);550 ₽;;;
Устрица Сант Васт №3 (ФР);400 ₽;;;
Устрица Спесиаль Изиньи № 3 (Speciales Isigny) (ФР);410 ₽;;;
Устрица Спесиаль Олерон (белый жемчуг) №2 (ФР);500 ₽;;;
Устрица Фин Бретань № 3 (Gillardeau Speciakts) (ФР);400 ₽;;;
Устрица Фин де клер Фавье №3 (Fines Favier Earl) (ФР);400 ₽;;;
Устрица Фин Маренн № 3 (ФР);400 ₽;;;
Икра;;;;
Икра чёрная осетровая 50гр ст/б NEW;5 000 ₽;;;
Икра красная лососевая (горбуша) с/м, пл/б 250 г (Россия);1 600 ₽;;;
Икра морского ежа премиум UNI (100 гр) с/м (Россия);5 500 ₽;;;
Рыба с/м;;;;
Дорада 300-400 с/м (Турция);762 ₽;;;
Дорада 400-600 с/м (Турция);777 ₽;;;
Зубатка пёстрая филе на коже в/у с/м (Россия);950 ₽;;;
Калкан Черноморский 3-5 с/м вес (Россия);1 381 ₽;;;
Камбала 0,5-1 б/г с/м (Россия);474 ₽;;;
Камбала 300-500 б/г с/м (Россия);450 ₽;;;
Камбала филе на коже в/у с/м (Россия);918 ₽;;;
Корюшка 20+ н/р с/м,(блок11 кг*2), (Россия);800 ₽;;;
Ледяная рыба тушка 250+ с/м вес (5 кг короб) (Китай);1 411 ₽;;;
Лосось ПСГ Премиум 5-6 с/м(Чили);1 489 ₽;;;
Лосось филе (семга) ~ 1,8 (trim D) с/м ФА (Чили);2 612 ₽;;;
Масляная филе на коже 4-6 с/м (Россия);1 268 ₽;;;
Масляная( Эсколар) филе на коже, с/м. 6+ кг. (Россия);1 263 ₽;;;
Минтай филе б/шкуры с/м 1кг (Россия);467 ₽;;;
Нерка ПБГ (2,4+) с/м вес. (Россия);1 240 ₽;;;
Окунь морской ПБГ 300-500 с/м (Россия);555 ₽;;;
Окунь филе (КН) н/к в/у с/м (Россия);829 ₽;;;
Палтус ПБГ 3+ с/м (Россия);1 598 ₽;;;
Палтус ПБГ 2-3 с/м (Россия);1 466 ₽;;;
Палтус филе (ДКР) 400+ н/к с/м (Россия);1 800 ₽;;;
Палтус филе н/к, с/м, инд/уп 700-900 г (Россия);2 220 ₽;;;
Пикша спинка лойн, с/м, б/к, в/у (Россия);755 ₽;;;
Сельдь 350+ н/р с/г с/м (Фарерские Острова);238 ₽;;;
Сибас 300-400 с/м (Турция);807 ₽;;;
Сибас 400-600 с/м (Турция);807 ₽;;;
Скумбрия 400-600 н/р с/г с/м (Фарерские острова);436 ₽;;;
Ставрида тушка 14+ с/м (Россия);622 ₽;;;
Судак (РБ) НСГ 1000+ с/м (Россия);617 ₽;;;
Судак филе на шкуре 400+ (Альфа М) с/м (Россия);887 ₽;;;
Тилапия филе (Окунь Изумидай) 9/12 унц 5% с/м (Китай);725 ₽;;;
Треска печень с икрой морского ежа ст/б 40 г. (Россия);296 ₽;;;
Треска печень ст/б 350 г. Мурманск (Россия);836 ₽;;;
Треска печень ст/б 500 г. (Россия);1 184 ₽;;;
Треска спинка-Лойн Премиум б/к в/у ш/з 300+ Атлантика с/м (Россия);1 199 ₽;;;
Треска спинка-Лойн Премиум б/к в/у ш/з 500+ Атлантика с/м (Россия);1 325 ₽;;;
Треска спинка-Лойн Премиум б/к в/у ш/з 700+ Атлантика с/м (Россия);1 036 ₽;;;
Треска филе 300-900 без шкуры (РБН) с/м (Россия);844 ₽;;;
Треска филе 300-900 на шкуре (РБН) с/м (Россия);762 ₽;;;
Треска филе 400+ на шкуре с/м (Россия);585 ₽;;;
Тунец филе (торо) 500+ Елоуфинн с/м (Вьетнам);950 ₽;;;
Тунец филе Loin 2,5+ с/м (Китай);1 400 ₽;;;
Тунец филе ААА с/м (500-800) Елоуфинн (Китай);2 200 ₽;;;
Тунец филе ломтики в/у Елоуфинн с/м (Китай);1 050 ₽;;;
Тюрбо полосатый ПБГ 600+ с/м (Мавритания);750 ₽;;;
Угольная рыба 600-1000 (ПБГ) с/м (Россия);1 150 ₽;;;
Угольная рыба филе н/коже с/м 700+ (Россия);2 220 ₽;;;
Угорь жаренный мороженный (20% соус ) в/у 20 унц (Китай);2 338 ₽;;;
Угорь жаренный мороженный (техглазурь) 11-15 унц (блок 5 кг) (Китай);2 753 ₽;;;
Угорь жаренный мороженный 300+ (5% соус ) в/у (Россия);2 368 ₽;;;
Форель радужная ПСГ 250+ с/м (Турция);814 ₽;;;
Хек филе 200+ с/м (Аргентина);709 ₽;;;
Черная треска ПБГ 3+ с/м (Китай);8 140 ₽;;;
"Щука филе без кожи ""СМ"" (10кг) с/м (Россия)";739 ₽;;;
"Щука филе на коже ""СМ"" (10кг) с/м (Россия)";672 ₽;;;
Бакалея;;;;
Боттарга икра ястычная вяленая в натур.воске, вес Россия;*;;;
"Бульон костный говяжий зам ""Деми Гляс""пл/б 3л (Россия)";4 100 ₽;;;
"Бульон креветочный зам ""Биск"" пл/б 1л (Россия)";1 800 ₽;;;
Бульон куриный зам пл/б 3л (Россия);900 ₽;;;
Томаты целые очищ. c/c ж/б (ROSSO GARGANO) 2.55 кг (Италия);950 ₽;;;
Амарантовая продукция;;;;
Масло амарантовое 100% нераф.(первый холодный отжим) 100 мл, сквален 6% Россия;1 500 ₽;;;
Масло горчично-амарантовое 500 мл, Россия;900 ₽;;;
Масло подсолнечное-амарантовое 500 мл, Россия;1 000 ₽;;;
Мука амарантовая крупчатка 1 кг, крафт пакет, Россия;500 ₽;;;
Мука амарантовая с повыш.содержанием белка 1 кг, крафт пакет, Россия;600 ₽;;;
Суши ;;;;
Бобы соевые зеленые Эдамаме, с/м 500 г Россия;252 ₽;;;
Бульон куриный концентрированный жидкий 1кг Китай;1 347 ₽;;;
"Бумага рисовая ""SAFOCO"" 20 листов 300гр";229 ₽;;;
Бумажная подложка 15 см (500 шт);1 243 ₽;;;
Васаби Kizami 0,25 кг с/м (Япония);2 812 ₽;;;
Васаби порошок Wasabits 1 кг (Япония);3 600 ₽;;;
Васаби тертый 505 0,75 кг с/м (Япония);5 500 ₽;;;
"Водоросли ""Ака Тосака"" зелёные в соли, 0,5 кг Япония";1 288 ₽;;;
Водоросли жареные NORI PREMIUM, 100 листов, Корея;2 605 ₽;;;
"Икра летучей рыбы ""Тобико NEO"" (100%) Премиум, красная 0,5 кг, Россия";1 110 ₽;;;
"Икра летучей рыбы ""Тобико NEO"" (100%) Премиум, оранжевая 0,5 кг, Россия";1 258 ₽;;;
"Икра летучей рыбы ""Тобико сан"" (100%) Премиум, зеленая 0,5 кг, Россия";1 702 ₽;;;
"Икра летучей рыбы ""Тобико сан"" (100%) Премиум, черная 0,5 кг, Россия";1 702 ₽;;;
"Икра мойвы ""Масаго "" Премиум, красная Tamaki, 0,5 кг, Россия";857 ₽;;;
"Имбирь маринованный белый «TABUKO"" 1,5 кг, Китай";518 ₽;;;
Каштан водяной консерв. 0,567 кг Китай;385 ₽;;;
Крахмал пшеничный АИСТ 450гр Китай;349 ₽;;;
Кукуруза воздушная Трям соленый 130г;68 ₽;;;
Майонез японский, Kewpie 0,45 кг, Япония;807 ₽;;;
Мальтоза сироп солодовый 0,350 кг Китай;296 ₽;;;
"Паста кисло-сладкая ""Тom Yum "" п/п , 1кг, Россия";641 ₽;;;
Паста Мисо красная Марукоме (РТК) 1кг, (Pro you ara miso) Япония;444 ₽;;;
Паста Мисо светлая Марукоме 1кг, (Pro you shiro miso) Япония;407 ₽;;;
