;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
СИ-00002522;Цыпленок тушка (корнишон) 450 с/м, ИП Дорофеева, Россия;;Россия;213;РУБ;кор (20 шт);шт
УТ-00014175;Цыпленок тушка (корнишон) 450+ с/м, ГКФХ Нерсисян, Россия;;Россия;186;РУБ;кор (18 шт);шт
СИ-00002511;Цыпленок тушка (корнишон) 500 с/м, ИП Дорофеева, Россия;;Россия;225;РУБ;кор (20 шт);шт
УТ-00010897;Цыпленок тушка (корнишон) 500+ с/м, ГКФХ Нерсисян, Россия;;Россия;210;РУБ;кор (18 шт);шт
СИ-00002217;Цыпленок тушка б/к (шаурма) пакет с/м, Дар Птица, Россия;;Россия;375;РУБ;кор (20 кг);кг
СИ-00001431;Цыпленок тушка б/к (шаурма) пакет с/м, Курников, Россия;;Россия;375;РУБ;кор (12 кг);кг
УТ-00005182;ЦЫПЛЕНОК тушка б/к с/ш с/м (шаурма), Мясо Птицы Ставрополья, Россия;;Россия;375;РУБ;кор (15 кг);кг
;Части тушки;;;;;;
;Грудка;;;;;;
УТ-00009916;Цыпленок грудка филе (Н) лоток ~0,9 кг с/м, Петруха, Россия/Республика Беларусь;;Россия/Республика Беларусь;459;РУБ;кор (1 кг)  кор (13 кг)  кор (6 кг);кг
УТ-00020481;Цыпленок грудка филе (Н) монолит с/м, 1010019784, Мираторг, Россия;;Россия;405;РУБ;кор (15 кг);кг
УТ-00017246;Цыпленок грудка филе (Н) монолит с/м, Петруха, Россия/Республика Беларусь;;Россия/Республика Беларусь;390;РУБ;кор (15 кг);кг
СП-00001152;Цыпленок грудка филе (Н) пакет с/м, Курников, Премиум, Россия;;Россия;427;РУБ;кор (8 кг);кг
УТ-00000814;Цыпленок грудка филе (Н) подложка с/м, Байсад, Россия;;Россия;395;РУБ;кор (14 кг);кг
УТ-00003812;Цыпленок грудка филе (Н) подложка с/м, Чамзинка, Россия;;Россия;410;РУБ;кор (7.5 кг);кг
УТ-00015436;Цыпленок грудка филе монолит ~10 кг с/м РПТ, Наш бройлер, Россия;;Россия;402;РУБ;кор (20 кг);кг
СИ-00002633;Цыпленок грудка филе монолит с/м, МеатТорг, Россия;;Россия;393;РУБ;кор (20 кг);кг
;Бедро;;;;;;
УТ-00003700;Цыпленок бедро н/к подложка с/м, Байсад, Россия;;Россия;222;РУБ;кор (12 кг)  кор (14 кг);кг
УТ-00010187;Цыпленок бедро филе (Н) монолит с/м, Хорошее дело, Россия;;Россия;425;РУБ;кор (12 кг);кг
УТ-00013866;Цыпленок бедро филе (Н) подложка с/м РПТ, Азбука птицы, Россия;;Россия;437;РУБ;кор (11 кг);кг
УТ-00016200;Цыпленок бедро филе монолит 10 кг*2 с/м РПТ, Наш бройлер, Россия;;Россия;427;РУБ;кор (20 кг);кг
СИ-00000015;Цыпленок бедро шаурма б/ш пакет с/м, Дар Птица, Россия;;Россия;427;РУБ;кор (20 кг);кг
СИ-00001430;Цыпленок бедро шаурма б/ш пакет с/м, Курников, Россия;;Россия;435;РУБ;кор (12 кг);кг
СИ-00000739;Цыпленок бедро Шаурма б/ш пакет с/м, Мясо Птицы Ставрополья, Россия;;Россия;427;РУБ;кор (10 кг)  кор (15 кг);кг
;Крылья;;;;;;
УТ-00004724;Цыпленок крыло 2 фаланги пакет с/м, Мясо Птицы Ставрополья, Россия;;Россия;329;РУБ;кор (15 кг);кг
;Окорок;;;;;;
УТ-00000768;Цыпленок голень н/ш подложка с/м, Байсад, Россия;;Россия;243;РУБ;кор (10 кг);кг
УТ-00007691;Цыпленок голень подложка с/м, Чамзинка, Россия;;Россия;254;РУБ;кор (8 кг)  кор (9 кг);кг
СИ-00002654;Цыпленок окорочок н/к (Н) монолит 15кг (М461) с/м, Ресурс, Россия;;Россия;249;РУБ;кор (15 кг);кг
СИ-00002216;Цыпленок окорочок шаурма пакет с/м, Дар Птица, Россия;;Россия;401;РУБ;кор (20 кг);кг
;Субпродукты из курицы;;;;;;
УТ-00003247;Цыпленок желудки с/м подложка (6), Благояр, Россия;;Россия;120;РУБ;кор (9 кг);кг
УТ-00000771;Цыпленок печень подложка с/м, Байсад, Россия;;Россия;155;РУБ;кор (13 кг);кг
УТ-00004301;Цыпленок печень подложка с/м, Благояр, Россия;;Россия;185;РУБ;кор (9 кг);кг
УТ-00002425;Цыпленок печень подложка с/м, Ясные Зори, Россия;;Россия;148;РУБ;кор (10 кг);кг
СИ-00002596;Цыпленок сердце в/у, с/м, Крымская Ряба, Россия;;Россия;265;РУБ;кор (15 кг);кг
УТ-00003268;Цыпленок сердце подложка с/м, Байсад, Россия;;Россия;311;РУБ;кор (10 кг);кг
;Полуфабрикаты;;;;;;
УТ-00018713;Цыпленок тушка шаурма в бобинах 5 кг с/м, SERVOLUX PROFESSIONAL, Россия;;Россия;1 526;РУБ;кор (1 шт);шт
;Утка;;;;;;
;Тушки утки;;;;;;
СИ-00002196;Утка целая 2,0-2,8 б/п Халяль в/у с/м, Маршрутка, Россия;;Россия;272;РУБ;кор (8 кг);кг
УТ-00014699;Утка целая 2+ б/п Халяль в/у с/м, 515, Улыбино, Россия;;Россия;263;РУБ;кор (11 кг)  кор (12 кг);кг
УТ-00018212;Утка целая 2+ б/п Халяль пакет с/м, 2731,2458, Озерка, Россия;;Россия;272;РУБ;кор (9 кг);кг
УТ-00020743;Утка целая 3+ б/п пакет с/м, 6542, Улыбино, Россия;;Россия;292;РУБ;кор (12 кг);кг
;Части тушки;;;;;;
;Грудка;;;;;;
