;;;;;;;
;;;;;;;
;;;;;;;
Код;Наименование товара;;"Страна-
производитель";"Цена за ед.
изм.";"Код 
валюты";Фасовка;"Ед. 
изм."
;;;;;;;
;Мясо;;;;;;
;Говядина премиальная;;;;;;
;Мраморная говядина зернового откорма свежемороженая;;;;;;
;Толстый край зачищенный Cube Roll зернового откорма свежемороженный;;;;;;
УТ-00016639;Мука клейкая рисовая 400 г, 4019, AROY-D, Тайланд;;Тайланд;147;РУБ;кор (20 шт);шт
СИ-00000122;"МУКА пшеничная в/с 2 кг, ""Бело-Нежная"", Россия";;Россия;137;РУБ;кор (6 шт);шт
УТ-00000521;Мука пшеничная в/с 2 кг, Макфа, Россия;;Россия;130;РУБ;кор (6 шт);шт
СИ-00001477;МУКА пшеничная хлебопекарная в/с 50 кг ГОСТ, Россия;;Россия;1 813;РУБ;;шт
УТ-00011891;"Мука пшеничная Экстра ""Французская штучка"" 2 кг, Старооскольская, Россия";;Россия;167;РУБ;кор (6 шт);шт
СИ-00001557;МУКА рисовая 500 г, Кудесница, Россия;;Россия;77;РУБ;кор (10 шт);шт
УТ-00014099;Мука универсальная (без глютена) 600 г, Гарнец, Россия;;Россия;205;РУБ;кор (6 шт);шт
;Пассеровки, панировки, кляры, крахмал;;;;;;
УТ-00003178;Крахмал картофельный 1 кг, Перцов, Россия;;Россия;231;РУБ;кор (5 шт);шт
УТ-00003012;Крахмал картофельный 400 г, Фарсис, Россия;;Россия;64;РУБ;кор (12 шт);шт
УТ-00012410;Крахмал кукурузный 1 кг (8шт/кор), Промпоставка-М, Россия;;Россия;152;РУБ;кор (8 шт);шт
СИ-00002403;Крахмал кукурузный 200 г, Домашнее бистро, Россия;;Россия;54;РУБ;кор (12 шт);шт
УТ-00020660;Крахмал кукурузный 3 кг, 69686830, MONDAMIN, Россия;;Россия;1 500;РУБ;кор (1 шт)  кор (4 шт)  кор (6 шт);шт
УТ-00014101;КРАХМАЛ топиоковый (без глютена) 500 г, Гарнец, Россия;;Россия;130;РУБ;кор (6 шт);шт
УТ-00007644;Сухари панировочные 1 кг, Фарсис, Россия;;Россия;99;РУБ;кор (8 шт);шт
;Крупы, макаронные изделия;;;;;;
;Крупы;;;;;;
УТ-00004685;ГЕРКУЛЕС 25 кг, Россия;;Россия;964;РУБ;кор (1 шт);шт
СИ-00001486;Геркулес хлопья овсяные 400 г, Россия;;Россия;22,17;РУБ;кор (12 шт);шт
УТ-00003437;Геркулес хлопья овсяные №1 500 г, Ясно солнышко, Россия;;Россия;68;РУБ;кор (18 шт)  кор (9 шт);шт
СИ-00000651;Геркулес хлопья овсяные №2 500 г 9 шт/кор, Ясно солнышко, Россия;;Россия;68;РУБ;кор (9 шт);шт
УТ-00006123;ГОРОХ желтый колотый 800 г, Родные края, Россия;;Россия;40;РУБ;кор (12 шт);шт
УТ-00004601;Киноа зерна 450 г, 6325, Националь, Перу;;Перу;183;РУБ;кор (6 шт);шт
УТ-00000632;Киноа зерна 500 г, 16001, Мистраль, Россия;;Россия;303;РУБ;кор (12 шт);шт
УТ-00004939;Крупа гречневая ядрица 800 г, Родные края, Россия;;Россия;63;РУБ;кор (12 шт);шт
УТ-00000651;Крупа гречневая ядрица 900 г, 12216, Мистраль, Россия;;Россия;125;РУБ;кор (12 шт);шт
УТ-00002312;Крупа гречневая ядрица 900 г, 1268, Националь, Россия;;Россия;111;РУБ;кор (12 шт);шт
УТ-00007715;Крупа гречневая ядрица ГОСТ 25 кг, Россия;;Россия;1 718;РУБ;кор (1 шт);шт
СП-00000759;КРУПА кукурузная 25 кг, Россия;;Россия;1 062;РУБ;;шт
УТ-00015657;Крупа кукурузная 800 г, Новый вкус, Россия;;Россия;50;РУБ;кор (10 шт);шт
СИ-00000350;Крупа кукурузная 800 г, Родные края, Россия;;Россия;39,2;РУБ;кор (12 шт);шт
УТ-00007108;Крупа манная 800 г, 11302, Мистраль, Россия;;Россия;83;РУБ;кор (12 шт);шт
УТ-00005719;Крупа манная 800 г, Родные края, Россия;;Россия;41;РУБ;кор (12 шт);шт
УТ-00005705;Крупа перловая 800 г, Родные края, Россия;;Россия;32,61;РУБ;кор (12 шт);шт
УТ-00001518;Крупа перловая 900 г, 11502, Мистраль, Россия;;Россия;87;РУБ;кор (12 шт);шт
СИ-00001375;КРУПА пшеничная №2 800 г, Родные края, Россия;;Россия;32,61;РУБ;кор (12 шт);шт
СИ-00001016;Крупа пшеничная №3 800 г, Родные края, Россия;;Россия;41;РУБ;кор (12 шт);шт
УТ-00004831;Крупа пшеничная Булгур 450 г, 3587, Националь, Турция;;Турция;107;РУБ;кор (6 шт);шт
УТ-00012359;Крупа пшеничная Булгур 500 г, 11605, Мистраль, Россия;;Россия;100;РУБ;кор (12 шт);шт
СИ-00001540;КРУПА пшеничная Булгур 800 г, Родные края, Россия;;Россия;64;РУБ;кор (12 шт);шт
УТ-00001563;Крупа пшеничная Кускус 450 г, 11602, Мистраль, Россия;;Россия;176;РУБ;кор (12 шт);шт
УТ-00002341;КРУПА пшеничная Кускус 450 г, 3238, Националь, Тунис/Италия;;Тунис/Италия;128;РУБ;кор (6 шт);шт
СИ-00002566;КРУПА ячневая 25 кг ГОСТ, Россия;;Россия;767;РУБ;кор (1 шт);шт
УТ-00005631;Крупа ячневая 800 г, Родные края, Россия;;Россия;32,61;РУБ;кор (12 шт);шт
УТ-00008013;Нут Турецкий горох 450 г, 12433, Мистраль, Россия;;Россия;175;РУБ;кор (12 шт);шт
УТ-00004411;Нут Турецкий горох 450 г, 3589, Националь, Россия;;Россия;119;РУБ;кор (6 шт);шт
УТ-00017751;Полба дробленная фермерская 900 г, 20990, Мистраль, Россия;;Россия;177;РУБ;кор (12 шт)  кор (6 шт);шт
УТ-00005632;Пшено 800 г, Родные края, Россия;;Россия;49;РУБ;кор (12 шт);шт
УТ-00000634;"Пшено шлифованное ""Золотое"" 900 г, 12252, Мистраль, Россия";;Россия;108;РУБ;кор (12 шт);шт
СИ-00000329;ПШЕНО шлифованное 25 кг ГОСТ, Россия;;Россия;961;РУБ;кор (1 шт);шт
СИ-00000040;Пшено элитное в/с 800 г, Родные края, Россия;;Россия;49;РУБ;кор (12 шт);шт
УТ-00005297;РИС 1 сорт 25 кг ГОСТ, Россия;;Россия;2 470;РУБ;кор (1 шт);шт
УТ-00003261;РИС 1 сорт 25 кг ТУ, Россия;;Россия;2 556;РУБ;кор (1 шт);шт
УТ-00002481;"Рис белый длиннозерный ""Басмати"" Премиум 500 г, 3229, Националь, Индия";;Индия;142;РУБ;кор (6 шт);шт
УТ-00019197;"Рис белый длиннозерный ""Жасмин"" 900 г, 3639, Националь, Вьетнам";;Вьетнам;146;РУБ;кор (12 шт);шт
УТ-00000631;Рис белый длиннозерный 500 г Басмати, 15001, Мистраль, Россия;;Россия;202;РУБ;кор (12 шт);шт
УТ-00001616;Рис белый длиннозерный 500 г ЖАСМИН, 15003, Мистраль, Россия;;Россия;143;РУБ;кор (12 шт);шт
УТ-00000618;Рис белый круглозерный 900 г Кубань, 10212, Мистраль, Россия;;Россия;180;РУБ;кор (12 шт);шт
УТ-00002337;"Рис белый круглозерный шлифованный ""Краснодарский"" 900 г, 1286, Националь, Россия";;Россия;154;РУБ;кор (12 шт);шт
УТ-00002396;Рис белый среднезерный Арборио 500 г, 15002, Мистраль, Россия;;Россия;285;РУБ;кор (12 шт);шт
СИ-00000130;"Рис дикий черный ""Акватика"" 500 г, 16002, Мистраль, Россия";;Россия;948;РУБ;кор (12 шт);шт
УТ-00008348;Рис дикий черный длиннозерный 500 г, 3230, Националь, США;;США;932;РУБ;кор (6 шт);шт
УТ-00013175;"Рис длиннозерный пропаренный ""Золотистый"" 3 кг, 8886, Националь, Индия/Вьетнам/Таиланд";;Индия/Вьетнам/Таиланд;405;РУБ;кор (4 шт);шт
УТ-00019233;"Рис длиннозерный пропаренный ""Золотистый"" 900 г, 1281, Националь, Индия/Таиланд";;Индия/Таиланд;141;РУБ;кор (12 шт);шт
СИ-00000118;РИС длиннозерный пропаренный 800 г, Родные края, Россия;;Россия;93;РУБ;кор (12 шт);шт
УТ-00000628;Рис длиннозерный пропаренный 900 г Янтарь, 10213, Мистраль, Россия;;Россия;172;РУБ;кор (12 шт);шт
СИ-00001565;"Рис длиннозерный пропаренный и дикий черный (смесь) ""Акватика Mix"" 500 г, 16004, Мистраль, Россия";;Россия;276;РУБ;кор (12 шт);шт
СИ-00002663;РИС длиннозерный пропаренный Индия 25 кг ТУ, Россия;;Россия;2 501;РУБ;кор (1 шт);шт
СИ-00001756;РИС для плова Осман 800 г, Родные края, Россия;;Россия;105;РУБ;кор (12 шт);шт
УТ-00007196;РИС круглозерный 800 г, Родные края, Россия;;Россия;91;РУБ;кор (12 шт)  кор (9 шт);шт
СП-00000365;Фасоль белая 800 г, Россия;;Россия;161;РУБ;;шт
СИ-00001017;Фасоль красная 800 г, Родные края, Россия;;Россия;157;РУБ;кор (12 шт);шт
СИ-00000135;Хлопья овсяные 5 злаков 400 г, Ясно солнышко, Россия;;Россия;71;РУБ;кор (18 шт)  кор (9 шт);шт
УТ-00006881;ЧЕЧЕВИЦА 800 г, Родные края, Россия;;Россия;82;РУБ;кор (12 шт);шт
УТ-00003011;Чечевица красная 450 г, 3439, Националь, Россия;;Россия;88;РУБ;кор (6 шт);шт
УТ-00007754;"Чечевица красная мелкая ""Персидская"" 450 г, 12291, Мистраль, Россия";;Россия;182;РУБ;кор (12 шт);шт
;Макаронные изделия;;;;;;
УТ-00003549;Лапша яичная Классическая 400 г, Роллтон, Россия;;Россия;79;РУБ;кор (10 шт);шт
УТ-00002191;Макароны бантики 400 г, Макфа, Россия;;Россия;70;РУБ;кор (20 шт);шт
СИ-00000705;МАКАРОНЫ вермишель 5 кг ГОСТ, Петровские нивы, Россия;;Россия;305;РУБ;кор (1 шт);шт
УТ-00014908;"Макароны вермишель длинная ""Любительская"" (спагетти) 400 г, Макфа, Россия";;Россия;62;РУБ;кор (20 шт);шт
УТ-00010799;"Макароны вермишель короткая ""Паутинка"" 400г, Макфа, Россия";;Россия;59;РУБ;кор (20 шт);шт
УТ-00017937;Макароны вермишелька легкая 450 г, Шебекинские, Россия;;Россия;69;РУБ;кор (20 шт);шт
СИ-00000707;МАКАРОНЫ виток 5 кг ГОСТ, Петровские нивы, Россия;;Россия;305;РУБ;кор (1 шт);шт
СИ-00000648;МАКАРОНЫ гребешки 5 кг ГОСТ, Петровские нивы, Россия;;Россия;305;РУБ;кор (1 шт);шт
УТ-00010971;Макароны перья 400 г, Макфа, Россия;;Россия;59;РУБ;кор (20 шт);шт
УТ-00012418;Макароны перья 450 г, Шебекинские, Россия;;Россия;75;РУБ;кор (20 шт)  кор (28 шт);шт
СИ-00000527;Макароны перья 5 кг ГОСТ, Петровские нивы, Россия;;Россия;305;РУБ;кор (1 шт);шт
СИ-00000631;МАКАРОНЫ ракушки 400 г, Макфа, Россия;;Россия;68;РУБ;кор (20 шт);шт
УТ-00010637;Макароны рожки 400г, Макфа, Россия;;Россия;57;РУБ;кор (20 шт);шт
УТ-00012419;Макароны рожки 450 г, Шебекинские, Россия;;Россия;63;РУБ;кор (20 шт)  кор (28 шт);шт
СИ-00000706;МАКАРОНЫ рожки 5 кг ГОСТ, Петровские нивы, Россия;;Россия;303;РУБ;кор (1 шт);шт
УТ-00012690;Макароны спагетти 450 г, 002, Шебекинские, Россия;;Россия;69;РУБ;кор (20 шт)  кор (28 шт);шт
УТ-00006073;МАКАРОНЫ спагетти 5 кг, Россия;;Россия;303;РУБ;кор (1 шт);шт
УТ-00010638;Макароны спирали 400 г, Макфа, Россия;;Россия;59;РУБ;кор (20 шт);шт
УТ-00012616;Макароны спирали 450 г, Шебекинские, Россия;;Россия;69;РУБ;кор (20 шт)  кор (28 шт);шт
СИ-00000544;МАКАРОНЫ спираль 5 кг ГОСТ, Петровские нивы, Россия;;Россия;303;РУБ;кор (1 шт);шт
УТ-00013306;"Паста ""Птитим"" 450 г, Россия, 42001, Мистраль, Россия";;Россия;167;РУБ;кор (12 шт);шт
УТ-00003128;Паста Лингуине №7 500 г, DE CECCO, Италия;;Италия;210;РУБ;кор (24 шт);шт
УТ-00004767;ПАСТА Паппарделле № 083 250 г, DELVERDE, Италия;;Италия;279;РУБ;кор (12 шт);шт
УТ-00014759;Паста Пенне Ригате 450 г, Barilla, Россия;;Россия;80;РУБ;кор (12 шт)  кор (14 шт);шт
СИ-00001318;Паста Спагетти №3 450 г, Barilla, Россия;;Россия;83;РУБ;кор (24 шт);шт
УТ-00015259;Паста Спагетти №5 450 г, Barilla, Россия;;Россия;89;РУБ;кор (24 шт);шт
УТ-00020248;Паста Спагетти Нери с чернилами каракатицы №46 500 г, Speciale Felicetti, Италия;;Италия;378;РУБ;кор (20 шт);шт
УТ-00001559;Паста Тальятелле 500 г, Barilla, Италия;;Италия;216;РУБ;кор (12 шт);шт
СИ-00002639;Паста Тальятелле №203 500 г, DE CECCO, Италия;;Италия;259;РУБ;;шт
УТ-00014926;ПАСТА Фарфалле 400 г, Barilla, Россия;;Россия;93;РУБ;кор (12 шт);шт
УТ-00001557;Паста Феттуччине 500 г, Barilla, Италия;;Италия;232;РУБ;кор (12 шт);шт
УТ-00015098;Паста Фузилли 450 г, Barilla, Россия;;Россия;86;РУБ;кор (12 шт);шт
;Сахар;;;;;;
;Сахар;;;;;;
УТ-00005698;САХАР песок 10 кг, Россия;;Россия;920;РУБ;кор (1 шт);шт
УТ-00000600;Сахар песок 5 кг, Русский, Россия;;Россия;452;РУБ;кор (1 шт);шт
СИ-00000254;САХАР песок 800 г, Россия;;Россия;88;РУБ;кор (12 шт)  кор (25 шт);шт
УТ-00001794;САХАР песок ГОСТ 50 кг (шт), Россия;;Россия;4 609;РУБ;кор (1 шт);шт
УТ-00002872;Сахар рафинад (кусковой) 1 кг, Русский, Россия;;Россия;115;РУБ;кор (20 шт);шт
УТ-00019210;"Сахар тростниковый нерафинированный кусковой ""Демерара"" 500 г, 58205, Мистраль, Маврикий";;Маврикий;302;РУБ;кор (12 шт);шт
УТ-00007795;Сахар тростниковый песок Демерара 900 г, 58008, Мистраль, Маврикий/Россия;;Маврикий/Россия;353;РУБ;кор (12 шт);шт
СИ-00001022;Сахар фасованный (стикпакет) 5 г 2000 шт/кор, Россия;;Россия;1,07;РУБ;кор (2 000 шт);шт
;Сахарная пудра;;;;;;
УТ-00019921;Пудра сахарная 1 кг, 997200, Омега, Россия;;Россия;130;РУБ;кор (15 шт);шт
УТ-00002318;Пудра сахарная 1 кг, Промпоставка-М, Россия;;Россия;151;РУБ;кор (10 шт);шт
СИ-00000564;ПУДРА сахарная 140 г, Фарсис, Россия;;Россия;25,92;РУБ;кор (40 шт);шт
УТ-00004755;ПУДРА сахарная 500 г, Кормилица, Россия;;Россия;70;РУБ;кор (12 шт);шт
;Соль;;;;;;
СИ-00002652;Соль поваренная крупная (картон) 1 кг высший сорт, Илецксоль, Россия;;Россия;31,25;РУБ;кор (21 шт)  кор (30 шт);шт
УТ-00001239;Соль поваренная крупная 1 кг высший сорт, Илецксоль, Россия;;Россия;27,11;РУБ;кор (21 шт)  кор (30 шт);шт
УТ-00003134;"Соль поваренная мелкая 1 кг ""Полесье"" экстра (20 шт/кор), Мозырьсоль, Беларусь";;Беларусь;41;РУБ;кор (20 шт);шт
УТ-00001240;Соль поваренная морская крупная 1 кг, Marco Polo, Россия;;Россия;58;РУБ;кор (10 шт);шт
УТ-00004815;СОЛЬ поваренная морская крупная 1 кг, Атлантика, Россия;;Россия;74;РУБ;кор (15 шт);шт
УТ-00013527;СОЛЬ поваренная морская мелкая 1 кг, Marco Polo, Россия;;Россия;59;РУБ;кор (10 шт);шт
УТ-00001241;СОЛЬ поваренная морская мелкая 1 кг, Атлантика, Россия;;Россия;75;РУБ;кор (15 шт);шт
;Чай;;;;;;
УТ-00008406;"Чай зеленый в пакетиках ""Флаин Дрэгон"" 25 х2 г, 0358-10, Greenfield, Россия";;Россия;91;РУБ;кор (10 шт);шт
УТ-00008601;Чай зеленый в пакетиках 400 г (200 пакетиков х 2 г), 110405, Майский, Россия;;Россия;398;РУБ;кор (10 шт)  кор (200 шт);шт
УТ-00006511;Чай зеленый листовой 100 г, 0119-15, Принцесса ЯВА, Россия;;Россия;58;РУБ;кор (15 шт);шт
УТ-00008403;"Чай черный в пакетиках ""Голден Цейлон"" 25 х 2 г, 0352-10, Greenfield, Россия";;Россия;89;РУБ;кор (10 шт);шт
СИ-00002160;"ЧАЙ черный в пакетиках ""Кениан Санрайз"" 100 * 2 г, 0600-09, Greenfield, Россия";;Россия;278;РУБ;кор (10 шт);шт
УТ-00004092;ЧАЙ черный в пакетиках 100 х 2 г Де Люкс, 1052-10, Принцесса НУРИ, Россия;;Россия;165;РУБ;кор (10 шт);шт
СИ-00001172;Чай черный в пакетиках 100 х 2 г,, Лисма, Россия;;Россия;166;РУБ;кор (6 шт);шт
УТ-00008602;Чай черный в пакетиках 200 х 2 г, 101010, Майский, Россия;;Россия;394;РУБ;кор (1 шт)  кор (200 шт);шт
УТ-00001954;Чай черный листовой 100 г, 1050-36, Принцесса НУРИ, Россия;;Россия;63;РУБ;кор (36 шт);шт
УТ-00006794;Чай черный листовой 100 г, Принцесса ГИТА, Россия;;Россия;40;РУБ;кор (64 шт);шт
;Кофе;;;;;;
УТ-00017495;Кофе Бленд Бразилия-Уганда 1 кг, HopCo, Россия;;Россия;1 085;РУБ;кор (12 шт);шт
УТ-00016386;Кофе Бленд Бразилия-Эфиопия-Вьетнам 1 кг, HopCo, Россия;;Россия;1 374;РУБ;кор (10 шт)  кор (12 шт);шт
УТ-00003965;Кофе зерновой молотый для турки 100 г, Принц Лебо, Россия;;Россия;116;РУБ;кор (50 шт);шт
УТ-00005681;Кофе зерновой Традиционный 900 г, Жокей, Россия;;Россия;622;РУБ;кор (6 шт);шт
УТ-00003788;"Кофе растворимый гранулированный ""Nescafe Classic"" 2 г 30 шт/уп, Россия";;Россия;214;РУБ;кор (40 шт);шт
УТ-00013849;"КОФЕ растворимый сублимированный ""Nescafe Classic"" 500 г, Россия";;Россия;637;РУБ;кор (12 шт)  кор (6 шт);шт
СИ-00002490;"КОФЕ растворимый сублимированный ""ЛЕБО ЭКСТРА"" 2 г 300 шт/уп, Россия";;Россия;1 279;РУБ;кор (1 шт);шт
СИ-00002432;КОФЕ растворимый сублимированный 70 г, Лебо экстра, Россия;;Россия;121;РУБ;кор (12 шт);шт
;Какао;;;;;;
УТ-00002065;"Какао порошок ""Золотой Ярлык"" 100 г, КО01405, Красный Октябрь, Россия";;Россия;84;РУБ;кор (18 шт);шт
;Пряности, специи, приправы;;;;;;
;Специи;;;;;;
УТ-00006302;Лук жареный 1 кг (пакет), 852911, Kotanyi, Австрия;;Австрия;700;РУБ;кор (10 шт);шт
УТ-00002433;Приправа смесь перцев горошек 460 г, Spice Master, Россия;;Россия;675;РУБ;кор (15 шт);шт
УТ-00003624;Приправа смесь перцев молотая 500 г, Перцов, Россия;;Россия;381;РУБ;кор (10 шт);шт
УТ-00004305;ПРИПРАВА универсальная 1 кг, Перцов, Россия;;Россия;378;РУБ;кор (5 шт);шт
СИ-00000057;СПЕЦИИ Аджика сухая 1 кг, Перцов, Россия;;Россия;412;РУБ;кор (5 шт);шт
УТ-00001711;Специи бадьян (анис звездчатый) целый 190 г, Spice Master, Россия;;Россия;511;РУБ;кор (15 шт);шт
СИ-00001366;Специи бадьян (анис звездчатый) целый 500 г, Перцов, Россия;;Россия;1 131;РУБ;кор (5 шт);шт
СИ-00001034;СПЕЦИИ базилик 1кг, Перцов, Россия;;Россия;479;РУБ;кор (1 шт)  кор (4 шт);шт
УТ-00005993;Специи базилик измельченный 180 г, 240611, Kotanyi, Австрия;;Австрия;442;РУБ;кор (6 шт);шт
СИ-00002451;СПЕЦИИ барбарис сушеный 1 кг, Перцов, Россия;;Россия;788;РУБ;кор (5 шт);шт
УТ-00004002;Специи ваниль бурбонная в стручках (1 стручок), 300111, Kotanyi, Австрия;;Австрия;406;РУБ;кор (25 шт);шт
УТ-00003427;Специи гвоздика целая 1 кг, Перцов, Россия;;Россия;2 000;РУБ;кор (5 шт);шт
УТ-00003175;Специи горчичный порошок 1 кг, Перцов, Россия;;Россия;184;РУБ;кор (5 шт);шт
УТ-00005845;СПЕЦИИ имбирь молотый 1 кг, Перцов, Россия;;Россия;329;РУБ;кор (5 кг);кг
УТ-00005062;СПЕЦИИ кориандр молотый 1 кг, Перцов, Россия;;Россия;142;РУБ;кор (5 шт);шт
УТ-00016495;СПЕЦИИ корица (палочки) 200 г, Spice Master, Россия;;Россия;408;РУБ;кор (15 шт);шт
СИ-00000094;Специи корица (палочки) 500 г, Перцов, Россия;;Россия;855;РУБ;кор (5 шт);шт
УТ-00011791;Специи корица молотая 1 кг, 1502, Промпоставка-М, Россия;;Россия;467;РУБ;кор (10 шт);шт
УТ-00003428;Специи корица молотая 1 кг, Перцов, Россия;;Россия;1 077;РУБ;кор (5 шт);шт
УТ-00011794;Специи кумин (зира) молотый 1 кг, Промпоставка-М, Россия;;Россия;543;РУБ;кор (10 шт);шт
СИ-00002573;СПЕЦИИ кумин (зира) целый 1 кг, Перцов, Россия;;Россия;945;РУБ;кор (5 шт);шт
УТ-00003429;Специи куркума молотая 1 кг, Перцов, Россия;;Россия;319;РУБ;кор (5 шт);шт
УТ-00005537;Специи лавровый лист целый 200 г, Промпоставка-М, Россия;;Россия;129;РУБ;кор (5 шт);шт
УТ-00008249;СПЕЦИИ лавровый лист целый 500 гр, Перцов, Россия;;Россия;332;РУБ;кор (4 шт);шт
УТ-00006305;Специи нити чили сушеные 45 г, 734111, Kotanyi, Австрия;;Австрия;650;РУБ;кор (6 шт);шт
УТ-00007221;Специи орегано (душица) измельченный 135 г, 245311, Kotanyi, Австрия;;Австрия;596;РУБ;кор (6 шт);шт
УТ-00001712;Специи орегано 100 г, Spice Master, Россия;;Россия;172;РУБ;кор (15 шт);шт
УТ-00011281;Специи паприка копченая 625 гр/1200 мл, 263911, Kotanyi, Австрия;;Австрия;1 438;РУБ;кор (6 шт);шт
УТ-00016685;Специи паприка красная молотая 400 г, Spice Master, Россия;;Россия;350;РУБ;кор (15 шт);шт
УТ-00005851;СПЕЦИИ паприка красная сладкая молотая 1 кг СПЕНТ, Перцов, Россия;;Россия;395;РУБ;кор (5 шт);кг
УТ-00004111;Специи перец душистый горошек 350 г, Spice Master, Россия;;Россия;793;РУБ;кор (15 шт);шт
УТ-00011788;Специи перец кайенский красный молотый 1 кг, Промпоставка-М, Россия;;Россия;774;РУБ;кор (10 шт);шт
УТ-00002422;Специи перец розовый горошек 250 г, Spice Master, Россия;;Россия;795;РУБ;кор (15 шт);шт
СИ-00001772;СПЕЦИИ перец черный горошек 1 кг, Перцов, Россия;;Россия;755;РУБ;кор (1 шт);шт
УТ-00007753;Специи перец черный горошек 1 кг, Промпоставка-М, Россия;;Россия;998;РУБ;кор (10 шт);шт
УТ-00004113;Специи перец черный горошек 470 г, Spice Master, Россия;;Россия;585;РУБ;кор (15 шт);шт
УТ-00005850;СПЕЦИИ перец черный молотый 1 кг СПЕНТ, Перцов, Россия;;Россия;381;РУБ;кор (5 кг);кг
УТ-00011793;Специи перец черный молотый 1 кг, 1510, Промпоставка-М, Россия;;Россия;317;РУБ;кор (10 шт);шт
УТ-00001939;Специи перец черный молотый 1 кг, ТМ Промпоставка, Россия;;Россия;420;РУБ;кор (10 шт);шт
УТ-00016764;Специи перец черный молотый 400 г, Spice Master, Россия;;Россия;381;РУБ;кор (15 шт);шт
УТ-00003846;Специи Прованские травы 250 г, Spice Master, Россия;;Россия;270;РУБ;кор (15 шт);шт
СП-00000064;СПЕЦИИ прованские травы 500 г, Перцов, Россия;;Россия;295;РУБ;кор (5 шт);шт
УТ-00007222;Специи розмарин нарезанный 230 г, 712111, Kotanyi, Австрия/Марокко;;Австрия/Марокко;421;РУБ;кор (4 шт)  кор (6 шт);шт
УТ-00002418;Специи тимьян 150 г, Spice Master, Россия;;Россия;207;РУБ;кор (15 шт);шт
УТ-00004808;Специи Хмели-Сунели (пакет) 1 кг, Перцов, Россия;;Россия;394;РУБ;кор (5 шт);шт
УТ-00005401;Специи Хмели-Сунели (пакет) 1 кг, Промпоставка-М, Россия;;Россия;268;РУБ;кор (10 шт);шт
УТ-00001938;Специи чеснок сушеный гранулированный 1 кг, Промпоставка-М, Россия;;Россия;579;РУБ;кор (10 шт);шт
УТ-00011792;Специи чеснок сушеный порошковый 1 кг, Промпоставка-М, Россия;;Россия;378;РУБ;кор (10 шт);шт
;Концентраты для приготовления супов, бульонов, соусов, пюре;;;;;;
УТ-00001426;Бульон говяжий 2 кг, 68845533, KNORR, Россия;;Россия;1 000;РУБ;кор (4 шт);шт
УТ-00001428;Бульон грибной 2 кг, 68845532, KNORR, Россия;;Россия;1 077;РУБ;кор (4 шт);шт
УТ-00003548;"БУЛЬОН куриный ""Домашний"" 90 г, Роллтон, Россия";;Россия;30,51;РУБ;кор (24 шт)  кор (96 шт);шт
УТ-00001429;Бульон куриный 2 кг, 68845534, KNORR, Россия;;Россия;928;РУБ;кор (4 шт);шт
УТ-00001431;Бульон овощной 2 кг, 68846662, KNORR, Россия;;Россия;1 208;РУБ;кор (4 шт);шт
УТ-00014138;Бульон рыбный 2 кг, 68845530, KNORR, Россия;;Россия;1 564;РУБ;кор (4 шт)  кор (6 шт);шт
СП-00000549;ПЮРЕ картофельное 15 кг, 65415150, KNORR, Россия;;Россия;2 750;РУБ;;шт
УТ-00009877;Соус Деми Глас 1,5 кг, DINNER SERVICE, Россия;;Россия;1 816;РУБ;кор (4 шт);шт
УТ-00020302;Соус Деми Глас 1,8 кг, 69708573, KNORR, Россия;;Россия;2 288;РУБ;кор (4 шт);шт
УТ-00017205;Соус Демиглас 1 кг с/м, Мираторг, Россия;;Россия;752;РУБ;кор (4 шт);шт
;Хлеб;;;;;;
УТ-00001561;Хлеб пшеничный 470 г, Harry's, Россия;;Россия;110;РУБ;кор (10 шт);шт
;Орехи и сухофрукты;;;;;;
УТ-00009209;Грецкий орех бабочка 1 кг, Россия;;Россия;837;РУБ;кор (10 шт);шт
УТ-00009244;Изюм светлый 1 кг ГОСТ, Фрутлайн, Россия;;Россия;348;РУБ;кор (10 шт);шт
УТ-00007088;Курага ГОСТ сорт экстра 1 кг, Фрутлайн, Россия;;Россия;537;РУБ;кор (10 шт);шт
УТ-00006819;Чернослив ГОСТ 1 кг, Фрутлайн, Россия;;Россия;399;РУБ;кор (10 шт);шт
;;;;;;;
;Картофель-фри, специалитеты, аппетайзеры;;;;;;
;Картофель- фри;;;;;;
УТ-00005316;Картофель фри 10x10 2,5 кг Fast Fry, 086.013/086.016, Farm Frites, Нидерланды;;Нидерланды;829;РУБ;кор (5 шт);шт
УТ-00008006;Картофель фри 10x10 с/кож 2 кг Finest, 043.001, Farm Frites, Нидерланды;;Нидерланды;656;РУБ;кор (6 шт);шт
УТ-00019555;Картофель фри 10х10 2,5 кг с/м, Feast, Турция;;Турция;617;РУБ;кор (6 шт);шт
УТ-00021179;Картофель фри 10х10 2,5 кг с/м, Tilit, Иран;;Иран;516;РУБ;кор (4 шт);шт
УТ-00004466;Картофель фри 10х10 2,5 кг, 093.014/093.081, Farm Frites, Нидерланды/Бельгия/Польша;;Нидерланды/Бельгия/Польша;755;РУБ;кор (5 шт);шт
УТ-00006160;Картофель фри 7х7 2,5 кг Fantasy, 196.017/169.018, Farm Frites, Польша;;Польша;576;РУБ;кор (5 шт);шт
УТ-00004763;Картофель фри 7х7 2,5 кг, 173.012/173.021, Farm Frites, Нидерланды/Бельгия/Польша;;Нидерланды/Бельгия/Польша;803;РУБ;кор (5 шт);шт
