;Альянс Юг ООО;;;;;;;
;г.Краснодар, ОПХ КНИИСХ 1 отдел ул, дом № 35, тел.: (861) 200-27-96;;;;;;;
;;;;;;;;
;-- Доставка продуктов на следующий день после звонка;;;;;;;
;-- Доставка нашим автотранспортом;;;;;;;
;-- Заказы принимаются по многоканальному телефону;;;;;;;
;;;;;;;;
;-- Цены указаны с учетом НДС;;;;;;;
;-- Прием заказов:;;;;;;;
;  С понедельника по субботу с 9.00 до 18.00;;;Ваш менеджер ____________________;;;;
;;;;Тел._____________________________;;;;
;;;;;;;;
;ПРАЙС - ЛИСТ;;;;;;;
;Дата 15.08.2023;;;;;;;
;Артикул;Наименование товара;Произв.;Ед. изм.;Фасовка;Ед. изм. в кор.;Цена за ед.;
;;;;;;;;
;;Креветки, морепродукты;;;;;;
;37161;        Форель филе н/к (2-2.5) с/с вес. - Россия;Фуд Тим;кг;1;1;1 983,00;*
;39275;        Форель филе-ломтики б/к (~1кг) с/с вес. - Россия;Фуд Тим;кг;1;1;1009,00;*
;;    Свежемороженная рыба;;;;;;
;35837;        Дорадо тушка непотр. с/г (300/400) с/м 5кг - Турция;Agromey Gida;упак;5;1;3 192,00;*
;31514;        Дорадо тушка непотр. с/г (300/400) с/м 5кг - Турция;Kilic Deniz Urn.;упак;5;1;3 177,00;*
;39925;        Кета тушка потр. б/г (2-3) с/м 22кг - Россия;Континент;упак;22;1;7 580,00;*
;40103;        Лосось тушка потр. с/г (5-6) с/м вес. - Чили;Comercial Y Servicios Sur Austral Limitada;кг;1;1;1 322,00;*
;38200;        Лосось тушка потр. с/г (6-7) с/м вес. - Чили;Entrevientos S.A.;кг;1;1;1 321,00;*
;37757;        Лосось филе н/к (1.5-2) trim C с/м  вес. - Россия;Фуд Тим;кг;1;1;1 650,00;*
;36186;        Лосось филе н/к (1.5-2) trim D с/м вес. - Чили;Salmones Pacific Star S.A.;кг;1;1;1 697,00;*
;39927;        Минтай тушка потр. б/г (25+) с/м 12.5кг - Россия;Северо-Курильская БСФ;упак;12,5;2;1 814,00;*
;34415;        Минтай филе б/к с/м 10кг - Россия;Производственная компания Флиппер;упак;10;1;2 679,00;*
;39774;        Минтай филе н/к с/м 10кг - Россия;ПК Флиппер;упак;10;1;2 502,00;*
;40063;        Навага тушка потр. б/г (23+) с/м 17кг - Россия;Рыболовецкий колхоз им В.И. Ленина;упак;17;1;3 069,00;*
;37378;        Пангасиус розовый филе б/к (220+) с/м 10кг - Вьетнам;Branch Tranhan;упак;10;1;2 360,00;*
;37228;        Пангасиус филе б/к (220+) с/м 10кг - Вьетнам;Pacific Seafood Freezing Factory;упак;10;1;2 596,00;*
;38567;        Сельдь тушка непотр. с/г (400+) с/м 10кг - Россия;Океанрыбфлот;упак;10;2;1 971,00;*
;37760;        Сибас тушка непотр. с/г (300/400) с/м 5кг - Турция;Agromey Gida;упак;5;1;3 452,00;*
;37953;        Скумбрия тушка непотр. с/г (400/600) с/м 12.5кг - Фарерские острова;Vardin Pelagic;упак;12,5;2;4 056,00;*
;33375;        Судак филе н/к (300+) с/м 10кг - Россия;Русская рыба;упак;10;1;6 123,00;*
;36724;        Тилапия филе б/к (5-7oz) с/м 10кг - Китай;Hainan Qinfu Foods;упак;10;1;4 248,00;*
;38301;"        Тунец филе ""Yellowfin"" AAA б/к (0.5-0.7) с/м вес. - Вьетнам";HuyNam Seafood;кг;1;1;1 777,00;*
;39242;"        Тунец филе ""Yellowfin"" AAA б/к (0.3-0.5) с/м вес. - Морская палитра";Hai Vuong Company;кг;1;1;1 364,00;*
