Ценовая зона;Категория;Артикул;Названия артикула;Вложение;Цена без НДС;Цена с НДС;Дата старта;Дата завершения;
Sochi;Spirits;362041;_0,7Л ВОДКА АБСОЛЮТ;1;1265,23;1518,28;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;216787;_0,05Л ЛИКЁР MOZART CHOCOLATE CREAM;1;282,4;338,88;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;216787;_0,05Л ЛИКЁР MOZART CHOCOLATE CREAM;1;282,4;338,88;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;430088;_0,5Л КОНЬЯК СТАРЕЙШИНА 7ЛЕ;1;541,62;649,94;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;219451;_0,05Л ВОДКА BELUGA NOBLE;1;239,48;287,38;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;79645;_0,7Л КОНЬЯК КОКТЕБЕЛЬ 11 ЛЕТ;1;1009,05;1210,86;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;79646;_0,7Л КОНЬЯК КОКТЕБЕЛЬ 7 ЛЕТ;1;909,3;1091,16;16 Sept 2023;13 Oct 2023;
Sochi;Spirits;79646;_0,7Л КОНЬЯК КОКТЕБЕЛЬ 7 ЛЕТ;1;909,3;1091,16;7 Sept 2023;4 Oct 2023;
Sochi;Spirits;79646;_0,7Л КОНЬЯК КОКТЕБЕЛЬ 7 ЛЕТ;1;909,3;1091,16;23 Aug 2023;19 Sept 2023;
Sochi;Spirits;219452;_0,1Л ВИСКИ FOX _ DOGS;1;130,38;156,46;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;111926;_0,5Л ВОДКА РУССКАЯ ВАЛЮТА 38%;1;208,25;249,9;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;220877;_0,05Л ВОДКА БЕЛАЯ БЕРЕЗКА;1;81,82;98,18;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221156;_0,36Л СПИРТНОЙ НАПИТОК SOJU CHUM CHURUM;1;514,15;616,98;14 Sept 2023;20 Sept 2023;
Sochi;Spirits;221157;_0,36Л СПИРТНОЙ НАПИТОК SOJU CHUM CHURUM ВИНОГРАД;1;514,15;616,98;14 Sept 2023;20 Sept 2023;
