Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114387;;;;Шпинат резаный зам. Smart Сhef 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;254,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Замороженные торты, пирожные;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114021;;;;Набор пироженых муравейник зам. MIREL 420 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;шт;;;199,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114238;;;;Пирожное макаронс апельсин Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114239;;;;Пирожное макаронс киви Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114237;;;;Пирожное макаронс клубника Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114234;;;;Пирожное макаронс малина Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114233;;;;Пирожное макаронс соленая карамель Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;114232;;;;Пирожное макаронс темный шоколад Дель Густо 25 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;100;;;шт;;;29,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
