Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Страница 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мучные и крупяные изделия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;91783;;;;Маргарин для песочного теста 82% вес. (М220H) ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;190,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109517;;;;Маргарин для песочного теста М240 72% PRO ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;10;;;кг;;;167,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;93636;;;;Маргарин для приготовления крема 84% (M312H) ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;184,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;104748;;;;Маргарин для слоеного теста 70% вес. (М570) ~ 5*2 кг (эколин);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;213,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;91784;;;;Маргарин для слоеного теста 82% вес. (M526) ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;201,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;98695;;;;Маргарин для слоеного теста 82% вес. (М526) ~ 5*2 кг (эколин);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;191,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92047;;;;Маргарин для слоеного теста Алоха Пастри 80% Пуратос ~ 5*2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;523,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;95235;;;;Маргарин Миметик 32 Пуратос ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;558,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;79058;;;;Маргарин Пампушка сливочный 82% ММЗ 200 гр ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;10;;;шт;;;64,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;94713;;;;Маргарин столовый 40% Астория (M680) ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;114,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;81911;;;;Маргарин столовый 82% Астория (M620) ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;181,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;79490;;;;Маргарин твердый марки ТМ 82% весовой ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;226,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;93637;;;;Маргарин универсальный 60% (M661H) ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;137,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92185;;;;Маргарин универсальный 70% Астория (M671) ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;175,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101653;;;;Маргарин Хозяюшка сливочный Нижегородский 60% НМЖК 200 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;10;;;шт;;;49,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;84156;;;;Эмульсия Касетол (маргарин) ~ 10 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;171,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Пищевые ингредиенты ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116327;;;;Арахисовые Лепестки Valde 1кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;500,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116372;;;;Аромапаста Обжаренный миндаль 1кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;кг;;;2200,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116329;;;;Порошок Клубника Сушеная Valde 500г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;1;;;шт;;;1283,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116328;;;;Порошок Малина Сушеная Valde 500г;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;1;;;шт;;;1283,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116332;;;;Фисташковая Паста Зеленая Valde 1кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;4050,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116330;;;;Фисташковая Паста Натуральня Valde 1кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;4180,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112790;;;;Мармелад объемный,Снеговичок,40 шт;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;40;;;шт;;;65,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112002;;;;"Молочный шоколад в виде крошки ""Bay Scagliette Latte"" - 20 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;851,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;100529;;;;Помадка сухая порошкообразная Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;400,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;103407;;;;Посыпка воздушный рис ~ 8 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;8;;;кг;;;636,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102848;;;;Посыпка Профи-Декор крошка темная глянцевая ~ 4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;4;;;кг;;;494,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;106232;;;;Посыпка сахарная декор-пудра НЭВИССИМА ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;591,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;88508;;;;Посыпка сахарная разноцветная Монпарель 2 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;шт;;;1110,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110835;;;;Сахарная пудра haas 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;2;;;шт;;;275,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101967;;;;Сахарная пудра Haas 250 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;2;;;шт;;;70,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;78414;;;;Сахарная пудра весовая ~ 35 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;;;35;;;кг;;;146,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111667;;;;Сахарная пудра Мой Продукт ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;122,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;29033;;;;Сахарная пудра Мой продукт Россия 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;1;;;шт;;;121,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;100563;;;;Сахарная пудра Натрули 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;160,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111893;;;;Сахарная пудра нетающая ~12 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;12;;;кг;;;371,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101966;;;;Сахарная пудра нетающая Haas 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;316,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112787;;;;Сахарная фигурка Зайка лежащий;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;1;;;шт;;;2520,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;78560;;;;Серебряные драже с миндалем ~ 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;кг;;;2960,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112608;;;;Термостабильные палочки из темного шоколада - 1,6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;1,6;;;кг;;;1395,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сливки ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;111013;;;;Крем (сливки) на растит. маслах Decor Up 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;348,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;104417;;;;Крем Ducatto на растительных маслах 203 ультрапаст. ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;249,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;67879;;;;Крем Амбианте растительно-жировой Бельгия Пуратос 1 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;2;;;шт;;;283,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110149;;;;Крем для взбивания Шеф Дукат Профессионал 1801 1 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;6;;;шт;;;182,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;34148;;;;Крем на растительных маслах  Шантипак 26% 1л Пуратос ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;258,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110551;;;;Крем на растительных маслах (сливки) Кремарт 20% 1 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;2;;;шт;;;238,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;110567;;;;Крем на растительных маслах (сливки) Кремарт 26% 0,5 л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;1;;;шт;;;136,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92049;;;;Смесь для приготовления бисквитов Теграл Бисквит Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;245,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102495;;;;Смесь для приготовления желе (несладкая) Брижель Пуратос ~ 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;373,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92050;;;;Смесь для приготовления заварного крема Кремико Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;329,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102517;;;;Смесь для приготовления заварного крема хол.способом Кремиголд Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;382,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102517;;;;Смесь для приготовления заварного крема хол.способом Кремиголд Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;382,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;93114;;;;Смесь для приготовления творожного кекса Теграл Эверкейк Рико Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;237,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92108;;;;Смесь для шоколадных маффинов Изи Маффин Шоко Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;568,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;98462;;;;Смесь Изи Криспи Кейк для американского печенья Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;531,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;103533;;;;"Смесь Кремигель для приготовления крема ""холодным"" способом Пуратос ~ 15 кг";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;246,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101911;;;;Смесь Патизомальт для карамельного декора Пуратос ~ 4 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;4;;;кг;;;1237,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;81938;;;;Смесь сухая для десерта Carte D'Or Тирамису 540 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;1171,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;83730;;;;Смесь сухая для десерта Carte D'Or Шоколадный Фондан 520 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;1098,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;83730;;;;Смесь сухая для десерта Carte D'Or Шоколадный Фондан 520 гр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;шт;;;1098,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115534;;;;Смесь Теграл Мойст Шоколад Кейк Пуратос 15кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;324,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сырье для хлебопечения;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;106008;;;;Закваска жидкая Флюссигзауэр ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;411,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112770;;;;Закваска Сапоре Травиата Пуратос - 10 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;502,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105144;;;;Зерно СофтГрейн 5 зерен Пуратос ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;158,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109785;;;;Зерно СофтГрейн пророщенная пшеница Пуратос ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;213,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105614;;;;Зерно СофтГрейн пророщенное Пуратос ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;237,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;105143;;;;Зерно СофтГрейн Чиа Пуратос ~ 5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;5;;;кг;;;306,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101019;;;;Зерно СофтГрейн янтарное Пуратос ~ 11 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;11;;;кг;;;164,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;101336;;;;Зерновая смесь Пуравита Мульти Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;216,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;108702;;;;ИЗИ ЗДРАВНИЦА смесь для многозернового хлеба Пуратос ~ 17,5 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,5;;;17,5;;;кг;;;205,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;93311;;;;Ингредиент для хлеба О-Тентик Дурум Пуратос - 1 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;1;;;шт;;;808,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;115431;;;;Ингредиент для Хлеба ОТентик Дурум 10кг Пуратос;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;10;;;кг;;;691,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены указаны на 27.01.2024 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Код;;;;Наименование;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Кол-во в месте;;;Мин. партия отгрузки;;;Един. измерения;;;Цена;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;78701;;;;Смесь для производства кукурузных хл/б изделий МайсМакс ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;219,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;106218;;;;Смесь для пряных хлебов Пуравита Спайси 5-25% Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;335,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92044;;;;Смесь для ржано-пшеничного хлеба Изи Карелия Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;264,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;100724;;;;Смесь для сдобных изделий Изи Бриош Пуратос ~ 15 кг ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;505,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102646;;;;Смесь для сдобных изделий Изи Премиум Софт Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;361,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102642;;;;Смесь для сдобных изделий Изи Сдоба Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;276,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;92046;;;;Смесь для слоеного теста Изи Круассан Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;290,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;98089;;;;Смесь для тостового хлеба Изи Тост Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;245,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112235;;;;Смесь для хлеба Пуравита овсяная Пуратос - 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;179,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;109784;;;;Смесь для хлеба Пуравита Фитнес Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;324,80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;94233;;;;Смесь для хлеба Таленто овсяный Пуратос ~ 25 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;25;;;кг;;;164,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;102439;;;;Смесь зерновая Изи Санни Мультигрейн Пуратос ~ 20 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;20;;;кг;;;167,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;112397;;;;Смесь зерновая Пуравита Актив Пуратос 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;277,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;116376;;;;Смесь зерновая Пуравита Грейн Пуратос 15кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;257,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;99737;;;;Смесь зерновая с протеином Пуравита Мен Пуратос ~ 15 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;15;;;кг;;;349,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
